ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-091,Body Cavities,Abdominopelvic Cavity,1,2,What does the abdominal cavity contain?,"Stomach, intestines, liver, spleen, pancreas, and kidneys.",abdominal cavity
W1-092,Body Cavities,Abdominopelvic Cavity,1,2,What does the pelvic cavity contain?,"Bladder, rectum, and internal reproductive organs.",pelvic cavity
W1-093,Body Cavities,Boundary,1,2,What structure separates thoracic and abdominopelvic cavities?,The diaphragm.,diaphragm
W1-094,Body Cavities,Serous Membranes,1,2,What is a serous membrane?,"A thin, double-layered membrane lining a ventral body cavity.",serous membrane
W1-095,Body Cavities,Serous Membranes,1,2,What is the parietal layer of a serous membrane?,The layer lining the cavity wall.,serous membrane
W1-096,Body Cavities,Serous Membranes,1,2,What is the visceral layer of a serous membrane?,The layer covering the outer surface of an organ.,serous membrane
W1-097,Body Cavities,Serous Membranes,1,2,What is serous fluid?,Slippery fluid that lets organs glide against cavity walls.,serous fluid
W1-098,Body Cavities,Serous Membranes,2,3,Compare parietal and visceral serous membrane layers.,Parietal lines the wall; visceral covers the organ.,serous membrane
W1-099,Body Cavities,Serous Membranes,2,3,"Compare pleura, pericardium, and peritoneum by organ association.",Pleura surrounds lungs; pericardium surrounds heart; peritoneum surrounds abdominopelvic organs.,serous membranes
W1-100,Body Cavities,Clinical Application,3,4,A clinician drains fluid from the pleural cavity. What procedure is this?,Thoracentesis.,clinical; cavities
