ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-242,Cell Anatomy,Cell Specialization,1,2,Why do white blood cells need to change shape?,They can squeeze between cells to reach a site of infection.,white blood cell
W1-243,Cell Anatomy,Clinical Reasoning,3,4,A cell cannot digest worn-out organelles. Which organelle is most likely defective?,Lysosome.,lysosomes; clinical
W1-244,Cell Anatomy,Clinical Reasoning,3,4,A cell cannot neutralize toxins and free radicals well. Which organelle is most likely defective?,Peroxisome.,peroxisomes; clinical
W1-245,Cell Anatomy,Clinical Reasoning,3,4,A cell cannot produce enough ATP for contraction. Which organelle is most directly involved?,Mitochondria.,mitochondria; clinical
W1-246,Cell Anatomy,Clinical Reasoning,3,4,A secreted protein is made but cannot be packaged and shipped correctly. Which organelle is most likely involved?,Golgi apparatus.,Golgi; clinical
W1-247,Cell Anatomy,Clinical Reasoning,3,4,A product cannot move from ER to Golgi. Which structure likely failed?,Transport vesicles or microtubule tracks.,vesicles; microtubules
W1-248,Cell Anatomy,Clinical Reasoning,3,4,Messenger RNA cannot leave the nucleus. Which structure is impaired?,Nuclear pores.,nuclear pores; clinical
W1-249,Cell Anatomy,Clinical Reasoning,3,4,A cell surface loses its fuzzy identity coat. Which membrane component is affected?,Glycocalyx.,glycocalyx; clinical
W1-250,Cell Anatomy,Clinical Reasoning,3,4,A cell specialized for secretion would likely have abundant rough ER and Golgi. Why?,Rough ER makes proteins and Golgi sorts/packages them for export.,secretion; ER; Golgi
W1-251,Cell Anatomy,Clinical Reasoning,3,4,A steroid-producing cell would likely have abundant smooth ER. Why?,Smooth ER makes lipids.,smooth ER; lipids
W1-252,Cell Anatomy,Clinical Reasoning,3,4,A cell with high calcium storage needs would rely heavily on which organelle?,Smooth ER.,smooth ER; calcium
W1-253,Tissues,Origins,1,2,What is a tissue?,A group of cells that share a structure and a job.,tissue
W1-254,Tissues,Germ Layers,1,2,What are the three primary germ layers?,"Ectoderm, mesoderm, and endoderm.",germ layers
W1-255,Tissues,Germ Layers,1,2,What does ectoderm form?,The epidermis of the skin and all nervous tissue.,ectoderm
W1-256,Tissues,Germ Layers,1,2,What does mesoderm form?,"Muscle, bone, cartilage, blood, and most connective tissue.",mesoderm
W1-257,Tissues,Germ Layers,1,2,What does endoderm form?,The epithelial lining of the digestive and respiratory tracts and their glands.,endoderm
W1-258,Tissues,Four Tissue Types,1,2,Name the four basic tissue types.,"Epithelial, connective, muscle, and nervous tissue.",four tissue types
W1-259,Tissues,Four Tissue Types,1,2,What is the primary function of epithelial tissue?,"Covers surfaces, lines cavities and vessels, and forms glands.",epithelial tissue
W1-260,Tissues,Four Tissue Types,1,2,Where does epithelial tissue dominate?,"Epidermis, gut and vessel linings, and all glands.",epithelial tissue
W1-261,Tissues,Four Tissue Types,1,2,What is the primary function of connective tissue?,"Binds, supports, and protects.",connective tissue
W1-262,Tissues,Four Tissue Types,1,2,Where is connective tissue found?,"Throughout the body, between and within organs.",connective tissue
W1-263,Tissues,Four Tissue Types,1,2,What is the primary function of muscle tissue?,Produces movement by contracting.,muscle tissue
W1-264,Tissues,Four Tissue Types,1,2,Where is muscle tissue found?,"Skeletal muscles, heart wall, and walls of hollow organs.",muscle tissue
W1-265,Tissues,Four Tissue Types,1,2,What is the primary function of nervous tissue?,"Senses change, processes information, and directs responses.",nervous tissue
W1-266,Tissues,Four Tissue Types,1,2,Where is nervous tissue found?,"Brain, spinal cord, and nerves.",nervous tissue
W1-267,Tissues,Four Tissue Types,2,3,Compare epithelial and connective tissue by general role.,"Epithelial tissue covers and lines; connective tissue binds, supports, and protects.",epithelial; connective
W1-268,Tissues,Four Tissue Types,2,3,Compare muscle and nervous tissue by primary function.,"Muscle tissue contracts for movement; nervous tissue senses, processes, and directs responses.",muscle; nervous
W1-269,Tissues,Epithelial Tissue,1,2,What are the major functions of epithelial tissue?,"Protection, absorption, secretion, filtration, and sensory reception.",epithelial functions
W1-270,Tissues,Epithelial Tissue,1,2,What are general features of epithelial tissue?,"Tightly packed cells, little matrix, one free apical surface, avascular but innervated, high regeneration.",epithelial features
W1-271,Tissues,Epithelial Classification,1,2,How are epithelial tissues named?,By number of cell layers and shape of surface cells.,epithelial classification
W1-272,Tissues,Epithelial Classification,1,2,What is simple epithelium?,"One cell layer, built for absorption, secretion, and filtration.",simple epithelium
W1-273,Tissues,Epithelial Classification,1,2,What is stratified epithelium?,"Many cell layers, built for protection against wear.",stratified epithelium
W1-274,Tissues,Epithelial Classification,1,2,What are squamous cells?,"Flat, thin cells that allow rapid diffusion and filtration.",squamous cells
W1-275,Tissues,Epithelial Classification,1,2,What are cuboidal cells?,Cube-shaped cells common in glands and kidney tubules for secretion and absorption.,cuboidal cells
W1-276,Tissues,Epithelial Classification,1,2,What are columnar cells?,Tall cells lining absorptive and secretory surfaces such as the gut.,columnar cells
W1-277,Tissues,Epithelial Classification,1,2,What is pseudostratified epithelium?,"One layer that looks layered, often ciliated, lining the airways.",pseudostratified epithelium
W1-278,Tissues,Epithelial Classification,1,2,What is transitional epithelium?,"Epithelium that stretches and recoils, lining the urinary tract.",transitional epithelium
W1-279,Tissues,Epithelial Classification,2,3,Compare simple and stratified epithelium.,Simple has one layer for exchange/absorption/secretion; stratified has many layers for protection.,simple; stratified
W1-280,Tissues,Epithelial Classification,2,3,"Compare squamous, cuboidal, and columnar cells.",Squamous are flat; cuboidal are cube-shaped; columnar are tall.,cell shapes
W1-281,Tissues,Epithelial Classification,2,3,Why is stratified epithelium suited for protection?,Many layers resist wear and damage.,stratified epithelium
W1-282,Tissues,Epithelial Classification,2,3,Why is simple squamous epithelium suited for diffusion?,"Flat, thin cells create a short diffusion distance.",simple squamous
W1-283,Tissues,Epithelial Classification,3,4,A tissue must stretch and recoil in the urinary tract. Which epithelium fits?,Transitional epithelium.,transitional epithelium
W1-284,Tissues,Epithelial Classification,3,4,A ciliated airway lining looks layered but is one layer. Which epithelium fits?,Pseudostratified epithelium.,pseudostratified
W1-285,Tissues,Epithelial Classification,3,4,A gland duct is specialized for secretion and absorption. Which cell shape is common?,Cuboidal cells.,cuboidal
W1-286,Tissues,Epithelial Classification,3,4,An absorptive gut lining uses tall cells. Which epithelial shape fits?,Columnar cells.,columnar
W1-287,Tissues,Epithelial Structures,1,2,What is the basement membrane?,A thin sheet anchoring epithelium to underlying connective tissue.,basement membrane
W1-288,Tissues,Epithelial Structures,1,2,What two layers form the basement membrane?,Basal lamina and reticular lamina.,basement membrane
W1-289,Tissues,Epithelial Structures,1,2,What do apical microvilli do?,Increase surface area for absorption.,microvilli
W1-290,Tissues,Epithelial Structures,1,2,What do epithelial cilia do?,Sweep mucus and particles across the surface.,cilia
W1-291,Tissues,Epithelial Structures,2,3,Why is epithelium avascular but still alive?,It receives nutrients by diffusion from underlying connective tissue.,epithelial features
W1-292,Tissues,Epithelial Structures,2,3,Why does epithelium have high regenerative capacity?,It is exposed to wear and must replace damaged cells.,epithelial regeneration
W1-293,Tissues,Epithelial Structures,3,4,"If the basement membrane fails, what epithelial function is most directly compromised?",Anchoring epithelium to connective tissue below.,basement membrane; application
W1-294,Tissues,Epithelial Structures,3,4,"If airway cilia fail, what clinical problem becomes more likely?","Mucus and particles build up, increasing infection risk.",cilia; clinical
