#,Module,Module title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID
11,1,Foundations to Integumentary,Cell Anatomy,Generalized cell regions,"Name the three basic regions of a generalized cell, the plasma membrane, cytoplasm, and nucleus, and state what each contains.",Yes,,1,core,w1-generalized-cell
12,1,Foundations to Integumentary,Cell Anatomy,Plasma membrane structure,"Describe the plasma membrane components, distinguish integral from peripheral proteins, and identify the surface specializations microvilli, cilia, and flagellum.",Yes,,2,high,w1-plasma-membrane
13,1,Foundations to Integumentary,Cell Anatomy,Nucleus structure,"Identify the nuclear envelope, nuclear pores, nucleolus, nucleoplasm, chromatin, and chromosomes and state the role of each.",Yes,,2,high,w1-nucleus
14,1,Foundations to Integumentary,Cell Anatomy,Organelle identification,"Identify the membranous and non-membranous organelles and state the structural job of each, including the endomembrane system path from rough ER to exocytosis.",Yes,,2,core,w1-organelles
15,1,Foundations to Integumentary,Tissues and Histology,Embryonic germ layers,"Name the three primary germ layers, ectoderm, mesoderm, and endoderm, and the tissues each one gives rise to.",Yes,,1,support,w1-germ-layers
16,1,Foundations to Integumentary,Tissues and Histology,Epithelial tissue identification,"Classify epithelial tissue by cell layers and cell shape and identify the basement membrane, apical specializations, and glandular epithelium on a slide.",Yes,Yes,3,core,w1-epithelial-id
17,1,Foundations to Integumentary,Tissues and Histology,Cell junctions,"Identify the five epithelial cell junctions, what each does, what it links to, and its major protein.",Yes,Yes,2,high,w1-cell-junctions
18,1,Foundations to Integumentary,Tissues and Histology,Connective tissue identification,"Describe connective tissue as cells, fibers, and ground substance and recognize the connective tissue proper subtypes, cartilage, bone, and blood on a slide.",Yes,Yes,3,core,w1-connective-id
19,1,Foundations to Integumentary,Tissues and Histology,Muscle tissue identification,"Recognize the three muscle tissue types, skeletal, cardiac, and smooth, by striations, cell shape, and number of nuclei.",Yes,Yes,2,high,w1-muscle-tissue-id
20,1,Foundations to Integumentary,Tissues and Histology,Nervous tissue identification,Identify neurons and neuroglia in nervous tissue and the parts of a multipolar neuron.,Yes,Yes,2,high,w1-nervous-tissue-id
21,1,Foundations to Integumentary,Tissues and Histology,Body membranes,"Distinguish the cutaneous, mucous, serous, and synovial membranes by composition and location.",Yes,,2,high,w1-body-membranes
22,1,Foundations to Integumentary,Integumentary,Skin layers and hypodermis,Name the epidermis and dermis and the hypodermis beneath them and identify the tissue that composes each.,Yes,Yes,1,core,w1-skin-layers
23,1,Foundations to Integumentary,Integumentary,Epidermal strata and cells,"List the five epidermal strata in order deep to superficial and identify the keratinocytes, melanocytes, tactile cells, and dendritic cells.",Yes,Yes,2,core,w1-epidermal-strata
24,1,Foundations to Integumentary,Integumentary,Dermis layers,Distinguish the papillary and reticular layers of the dermis by tissue and identify the structures and sensory corpuscles each contains.,Yes,Yes,2,high,w1-dermis-layers
25,1,Foundations to Integumentary,Integumentary,Accessory structures of the skin,"Identify the accessory structures of the skin including the parts of a hair and follicle, the parts of a nail, and the five gland types and their secretion modes.",Yes,Yes,2,high,w1-skin-accessory
26,2,Skeletal System and Joints,Bone Histology,Cartilage types and structure,"Identify the three cartilage types by fiber content and location and label chondrocytes, lacunae, matrix, and perichondrium.",Yes,Yes,2,core,w2-cartilage-types
27,2,Skeletal System and Joints,Bone Histology,Cartilage growth modes,Distinguish appositional from interstitial cartilage growth by where each begins and the direction of expansion.,Yes,,2,support,w2-cartilage-growth
28,2,Skeletal System and Joints,Bone Histology,Bone classification by shape,"Classify a bone as long, short, flat, irregular, or sesamoid and give an example of each.",Yes,Yes,1,core,w2-bone-shapes
29,2,Skeletal System and Joints,Bone Histology,Gross anatomy of a long bone,"Label the diaphysis, epiphysis, metaphysis, medullary cavity, articular cartilage, periosteum, endosteum, epiphyseal line, and marrow regions on a long bone.",Yes,Yes,2,core,w2-long-bone-gross
30,2,Skeletal System and Joints,Bone Histology,Compact and spongy bone microanatomy,Label the parts of an osteon and contrast compact bone with the trabeculae of spongy bone by structure and location.,Yes,Yes,2,high,w2-compact-spongy
31,2,Skeletal System and Joints,Bone Histology,The four bone cells,"Identify the osteogenic cell, osteoblast, osteocyte, and osteoclast and state the role and origin of each.",Yes,Yes,2,core,w2-bone-cells
32,2,Skeletal System and Joints,Bone Histology,Ossification and growth plate zones,Contrast intramembranous and endochondral ossification and list the five growth plate zones in order from epiphysis to diaphysis.,Yes,,2,high,w2-ossification-growth
33,2,Skeletal System and Joints,"Axial Skeleton, Skull",Cranial and facial bones,Distinguish the eight cranial bones from the fourteen facial bones and name the region each bone forms.,Yes,Yes,2,core,w2-skull-bones
34,2,Skeletal System and Joints,"Axial Skeleton, Skull",Significant skull bone markings,"Identify the key markings on each cranial and facial bone, including features of the sphenoid, ethmoid, temporal, occipital, maxillae, and mandible.",Yes,Yes,2,high,w2-skull-markings
35,2,Skeletal System and Joints,"Axial Skeleton, Skull",Sutures and fontanelles,Locate the four major sutures and the pterion by the bones they join and name the four fontanelles and where each lies.,Yes,Yes,2,high,w2-sutures-fontanelles
36,2,Skeletal System and Joints,"Axial Skeleton, Skull","Orbit, nasal cavity, palate, and sinuses","Identify the bones forming the orbit, nasal septum, and hard palate and locate the four paranasal sinuses by the bone each occupies.",Yes,Yes,2,high,w2-skull-cavities
37,2,Skeletal System and Joints,"Axial Skeleton, Skull",Major skull foramina and contents,Name the major skull foramina by the bone each pierces and state the nerve or vessel that passes through each.,Yes,Yes,2,core,w2-skull-foramina
38,2,Skeletal System and Joints,"Axial Skeleton, Spine",Vertebral column regions and curvatures,Name the five regions of the vertebral column with the vertebra count of each and identify the four curvatures as primary or secondary.,Yes,Yes,2,core,w2-spine-regions
39,2,Skeletal System and Joints,"Axial Skeleton, Spine",Typical vertebra and intervertebral disc,Label the parts of a typical vertebra and the anulus fibrosus and nucleus pulposus of an intervertebral disc.,Yes,Yes,2,core,w2-typical-vertebra
40,2,Skeletal System and Joints,"Axial Skeleton, Spine",Regional and specialized vertebrae,"Distinguish cervical, thoracic, and lumbar vertebrae by an identifying feature and describe the atlas, axis, dens, sacrum, and coccyx.",Yes,Yes,2,high,w2-regional-vertebrae
41,2,Skeletal System and Joints,"Axial Skeleton, Spine",Sternum and ribs,"Identify the parts of the sternum and rib markings and classify the twelve rib pairs as true, false, or floating by anterior attachment.",Yes,Yes,2,high,w2-thoracic-cage
42,2,Skeletal System and Joints,"Appendicular, Upper Extremity",Pectoral girdle and its markings,Identify the markings of the clavicle and scapula and explain how the clavicle links the upper limb to the axial skeleton.,Yes,Yes,2,core,w2-pectoral-girdle
43,2,Skeletal System and Joints,"Appendicular, Upper Extremity","Humerus, radius, and ulna markings","Identify the key markings of the humerus, radius, and ulna and state which forearm bone is lateral and which forms the elbow hinge.",Yes,Yes,2,high,w2-arm-forearm
44,2,Skeletal System and Joints,"Appendicular, Upper Extremity",Bones of the hand,Name the eight carpals in their two rows and the metacarpals and phalanges and locate the carpal tunnel and its contents.,Yes,Yes,2,high,w2-hand-bones
45,2,Skeletal System and Joints,Appendicular Skeleton,Bone markings vocabulary,"Classify a named bone marking as a projection, depression, or opening and match each term such as process, tuberosity, fossa, or sulcus to its description.",Yes,Yes,1,core,w2-bone-markings-vocab
46,2,Skeletal System and Joints,"Appendicular, Lower Extremity",Hip bone and pelvis,"Name the three bones that fuse at the acetabulum, identify the markings of the ilium, ischium, and pubis, and describe the pelvis and its sex differences.",Yes,Yes,2,core,w2-pelvic-girdle
47,2,Skeletal System and Joints,"Appendicular, Lower Extremity",Femur and patella markings,Identify the key markings of the femur and the base and apex of the patella.,Yes,Yes,2,high,w2-thigh-knee
48,2,Skeletal System and Joints,"Appendicular, Lower Extremity",Tibia and fibula markings,Identify the markings of the tibia and fibula and state which bone bears weight and how to tell them apart.,Yes,Yes,2,high,w2-leg-bones
49,2,Skeletal System and Joints,"Appendicular, Lower Extremity",Bones and arches of the foot,"Name the seven tarsals, the metatarsals, and the phalanges and identify the three arches of the foot.",Yes,Yes,2,high,w2-foot-bones
50,2,Skeletal System and Joints,Articulations and Joints,Structural and functional joint classification,"Classify a joint by structure as fibrous, cartilaginous, or synovial and by function as synarthrosis, amphiarthrosis, or diarthrosis and state the criteria for each.",Yes,Yes,2,core,w2-joint-classification
51,2,Skeletal System and Joints,Articulations and Joints,Fibrous and cartilaginous joints,"Describe the three fibrous joint types and the two cartilaginous joint types by structure, mobility, and example.",Yes,Yes,2,high,w2-fibrous-cartilaginous
52,2,Skeletal System and Joints,Articulations and Joints,Synovial joint structure and accessory parts,"Identify the structures of a synovial joint, its accessory structures such as menisci, labra, bursae, and tendon sheaths, and its nerve and blood supply.",Yes,Yes,2,core,w2-synovial-structure
53,2,Skeletal System and Joints,Articulations and Joints,Movements at synovial joints,"Demonstrate and name the gliding, angular, rotational, and special movements permitted at synovial joints.",Yes,Yes,2,core,w2-joint-movements
54,2,Skeletal System and Joints,Articulations and Joints,Six synovial joint types,Name the six synovial joint types with their axes of movement and give a body example of each.,Yes,Yes,2,high,w2-synovial-types
55,2,Skeletal System and Joints,Articulations and Joints,Shoulder and knee joint structure,"Describe the articulating bones and supporting ligaments of the glenohumeral and tibiofemoral joints and identify the rotator cuff, menisci, and cruciate and collateral ligaments.",Yes,Yes,3,high,w2-shoulder-knee
56,3,"Cardiovascular, Muscle and Blood",Cardiovascular,"Heart wall layers, pericardium, and internal features","Name the three heart wall layers and the pericardial membranes, and locate internal features such as auricles, pectinate muscles, fossa ovalis, and trabeculae carneae.",Yes,Yes,2,core,cv-surfaces
57,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Heart chambers and septa,"Identify the four heart chambers and the interatrial and interventricular septa, and state what blood each chamber receives and where it sends it.",Yes,Yes,2,core,cv-chambers
58,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Heart valves and what each separates,"Identify the four heart valves by type and location, and state which two chambers or vessels each one separates and where it prevents backflow.",Yes,Yes,2,core,cv-valves
59,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Chordae tendineae and papillary muscles,Identify the chordae tendineae and papillary muscles and describe how they anchor and hold the atrioventricular valves shut.,Yes,Yes,2,high,cv-valve-support
60,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Cardiac muscle tissue and the intercalated disc,"Describe cardiac muscle tissue and identify the cardiomyocyte, striations, and intercalated disc with its desmosomes and gap junctions.",Yes,Yes,2,high,cv-cardiac-muscle
61,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Pathway of blood through the heart,Trace one drop of blood through the four chambers and four valves of the heart in correct order.,Yes,Yes,2,core,cv-blood-pathway
62,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Great vessels and aortic arch,Identify the great vessels attached to the base of the heart and state which circuit each one serves.,Yes,Yes,2,core,bvn-great-vessels
63,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Coronary circulation,"Trace coronary circulation from the aorta through the coronary arteries, myocardial capillaries, cardiac veins, and coronary sinus to the right atrium, and identify the major coronary vessels.",Yes,Yes,2,core,cv-coronary
64,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Conduction system components and pathway,Locate each component of the conduction system and trace the pathway in order from the SA node to the Purkinje fibers.,Yes,Yes,2,core,cv-conduction-anat
65,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Nerve supply to the heart,Describe the autonomic nerve supply reaching the heart through the cardiac plexus and name the sympathetic and vagal parasympathetic sources.,Yes,,2,support,cv-cardiac-nerves
66,3,"Cardiovascular, Muscle and Blood",Cardiovascular,Three tunics of a vessel wall,"Name the three tunics of a vessel wall, state the tissue each contains, and explain which layer forms a capillary wall.",Yes,Yes,2,core,bvn-vessel-tunics
67,3,"Cardiovascular, Muscle and Blood",Cardiovascular,The five vessel types,"Compare arteries, arterioles, capillaries, venules, and veins by wall structure, direction of flow, and role.",Yes,Yes,2,core,bvn-vessel-types
68,3,"Cardiovascular, Muscle and Blood",Cardiovascular,"Kinds of artery, capillary, and vein","Distinguish elastic and muscular arteries, continuous, fenestrated, and sinusoid capillaries, and identify venous valves and their supporting features.",Yes,Yes,2,high,bvn-artery-cap-vein-kinds
69,3,"Cardiovascular, Muscle and Blood",Cardiovascular,"Circulatory routes, portal systems, and anastomoses",Describe the pulmonary and systemic circuits and identify portal systems and anastomoses as alternate circulatory arrangements.,Yes,,2,high,bvn-circulatory-routes
70,3,"Cardiovascular, Muscle and Blood",Cardiovascular,"Vessel wall disorders, arterial and venous","Describe atherosclerosis and how it changes an artery wall, and name common arterial and venous disorders by the structure each affects.",Yes,,2,high,bvn-vessel-disorders
71,3,"Cardiovascular, Muscle and Blood",Cardiovascular,"Fetal circulation, shunts, and adult remnants","Identify the fetal vessels and three shunts, state how each reroutes blood, and name the adult remnant each becomes.",Yes,Yes,2,high,bvn-fetal-remnants
72,3,"Cardiovascular, Muscle and Blood",Muscle Structure,Connective tissue coverings,"Name the epimysium, perimysium, and endomysium and trace how the three sheaths merge into the tendon that anchors muscle to bone.",Yes,Yes,2,core,w4-ct-coverings
73,3,"Cardiovascular, Muscle and Blood",Muscle Structure,Levels of organization,"Order the nested levels of skeletal muscle from whole muscle through fascicle, fiber, and myofibril down to the myofilament.",Yes,,1,core,w4-muscle-organization
74,3,"Cardiovascular, Muscle and Blood",Muscle Structure,Muscle fiber internal structure,"Identify the sarcolemma, sarcoplasm, myonuclei, myofibrils, sarcoplasmic reticulum, terminal cisternae, T tubules, and triad of a muscle fiber.",Yes,Yes,2,core,w4-muscle-fiber-parts
75,3,"Cardiovascular, Muscle and Blood",Muscle Structure,Sarcomere bands and filaments,"Diagram a sarcomere and name the Z disc, A band, I band, H zone, M line, and zone of overlap, stating which filaments occupy each region.",Yes,Yes,2,core,w4-sarcomere
76,3,"Cardiovascular, Muscle and Blood",Muscle Structure,Myofilament and structural proteins,"Distinguish thick from thin filaments by protein and anchor point and identify the roles of titin, nebulin, alpha-actinin, myomesin, and dystrophin.",Yes,,2,high,w4-myofilament-proteins
77,3,"Cardiovascular, Muscle and Blood",Muscle Structure,Three muscle tissue types,"Compare skeletal, cardiac, and smooth muscle by location, striations, control, and cell features including intercalated discs.",Yes,Yes,2,high,w4-muscle-tissue-types
78,3,"Cardiovascular, Muscle and Blood",Fascicle Arrangement,Fascicle arrangement patterns,"Identify parallel, fusiform, circular, convergent, and pennate fascicle patterns and give an example muscle for each, relating architecture to power versus range of motion.",Yes,,2,high,w4-fascicle-patterns
79,3,"Cardiovascular, Muscle and Blood",Fascicle Arrangement,Muscle roles and naming,"Classify agonist, antagonist, synergist, and fixator roles in a movement and decode a muscle name from its direction, size, shape, location, action, origins, or attachments.",Yes,,2,core,w4-muscle-roles-naming
80,3,"Cardiovascular, Muscle and Blood",Fascicle Arrangement,Lever systems,"Identify the fulcrum, effort, and load of a lever and classify first-, second-, and third-class levers with a body example of each.",Yes,,3,high,w4-lever-systems
81,3,"Cardiovascular, Muscle and Blood",Blood,Blood composition and plasma,"Describe blood as a fluid connective tissue and identify plasma, formed elements, hematocrit, buffy coat, and the plasma proteins albumin, globulins, and fibrinogen.",Yes,Yes,2,core,w4-blood-composition
82,3,"Cardiovascular, Muscle and Blood",Blood,Formed elements and leukocytes,"Identify erythrocytes, platelets, and the five leukocytes on a smear and describe erythrocyte structure and the granulocyte and agranulocyte groups.",Yes,Yes,2,core,w4-formed-elements
83,3,"Cardiovascular, Muscle and Blood",Blood,Hematopoiesis,"Explain where blood cells form and identify the hemocytoblast, megakaryocyte, and the myeloid and lymphoid lines of hematopoiesis.",Yes,Yes,2,high,w4-hematopoiesis
84,3,"Cardiovascular, Muscle and Blood",Blood,Blood disorders,"Name anemia, sickle cell disease, polycythemia, leukemia, leukopenia, thrombocytopenia, and hemophilia and identify the component each one affects.",Yes,,2,support,w4-blood-disorders
85,3,"Cardiovascular, Muscle and Blood",Lab: Upper Extremity Muscles,Chest and anterior arm muscles,"Identify on the cadaver or model the pectoralis major, pectoralis minor, serratus anterior, deltoid, biceps brachii, brachialis, and coracobrachialis with their actions.",,Yes,2,core,w4-lab-chest-anterior-arm
86,3,"Cardiovascular, Muscle and Blood",Lab: Upper Extremity Muscles,Forearm compartments,"Identify the anterior flexor and posterior extensor forearm muscles including flexor carpi radialis, palmaris longus, pronator teres, and extensor digitorum and state each compartment action.",,Yes,2,high,w4-lab-forearm-compartments
87,3,"Cardiovascular, Muscle and Blood",Lab: Upper Extremity Muscles,Posterior shoulder and rotator cuff,"Identify the trapezius, latissimus dorsi, rhomboids, levator scapulae, and the four rotator cuff muscles supraspinatus, infraspinatus, teres minor, and subscapularis with their actions.",,Yes,2,core,w4-lab-posterior-shoulder-cuff
88,3,"Cardiovascular, Muscle and Blood",Lab: Upper Extremity Vessels,Upper-extremity arteries and veins,"Trace and identify the subclavian, axillary, brachial, radial, and ulnar arteries and the cephalic, basilic, and median cubital veins on the upper limb.",,Yes,2,high,w4-lab-ue-arteries-veins
89,3,"Cardiovascular, Muscle and Blood",Lab: Upper Extremity Nerves,Upper-extremity nerves,"Identify the major nerves of the upper limb including the musculocutaneous, median, ulnar, radial, and axillary nerves and the brachial plexus they arise from.",,Yes,2,high,w4-lab-ue-nerves
90,3,"Cardiovascular, Muscle and Blood",Lab: Muscles,Abdominal and pelvic wall muscles,"Identify the abdominal and pelvic wall muscles on the cadaver including the rectus abdominis, external and internal obliques, transversus abdominis, and the pelvic floor muscles.",,Yes,1,core,w5-lab-abdominal-wall
91,3,"Cardiovascular, Muscle and Blood",Lab: Muscles,Gluteal and thigh muscles,"Identify the gluteal and thigh muscles including the gluteal group, quadriceps, hamstrings, and adductor group on the cadaver.",,Yes,1,core,w5-lab-thigh-gluteal
92,3,"Cardiovascular, Muscle and Blood",Lab: Muscles,Leg muscles,"Identify the muscles of the leg including the anterior, lateral, and posterior compartment muscles on the cadaver.",,Yes,1,core,w5-lab-leg-muscles
93,3,"Cardiovascular, Muscle and Blood",Head and Neck Lab Muscles,Muscles of facial expression,"Identify the muscles of facial expression including occipitofrontalis, orbicularis oculi, orbicularis oris, buccinator, zygomaticus, and platysma on a specimen or model.",,Yes,2,core,w7-lab-facial-expression
94,3,"Cardiovascular, Muscle and Blood",Head and Neck Lab Muscles,Muscles of mastication,"Identify the muscles of mastication masseter, temporalis, and the medial and lateral pterygoids on a specimen or model.",,Yes,2,core,w7-lab-mastication
95,3,"Cardiovascular, Muscle and Blood",Head and Neck Lab Muscles,Muscles of the neck,"Identify the sternocleidomastoid, the scalenes, and the suprahyoid and infrahyoid muscles of the neck on a specimen or model.",Yes,Yes,2,high,w7-lab-neck
96,3,"Cardiovascular, Muscle and Blood",Head and Neck Lab Muscles,Extraocular muscles,Identify the four rectus and two oblique extraocular muscles and the levator palpebrae superioris on a specimen or model.,Yes,Yes,2,high,w7-lab-extraocular
97,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,"Upper and lower tracts, conducting and respiratory zones","Distinguish the upper and lower respiratory tracts and the conducting and respiratory zones, and assign the major airway structures to each.",Yes,Yes,2,core,resp-zones
98,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,"Nose, nasal cavity, and pharynx","Identify the parts of the nasal cavity, paranasal sinuses, and the three regions of the pharynx.",Yes,Yes,2,high,resp-upper-tract
99,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,Larynx,"Identify the cartilages and folds of the larynx, including the thyroid and cricoid cartilages, epiglottis, arytenoids, vocal cords, and glottis.",Yes,Yes,2,core,resp-larynx
100,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,Trachea and bronchial tree,Trace air through the trachea and bronchial tree in order from the trachea and carina down to the terminal bronchioles.,Yes,Yes,2,core,resp-tree
101,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,Lungs and pleurae,"Identify the lobes, fissures, and surfaces of each lung and the parietal and visceral pleurae with the pleural cavity.",Yes,Yes,2,core,resp-lungs-pleura
102,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,Respiratory zone and alveolar structure,"Describe the structure of an alveolus and identify the type I and type II alveolar cells, alveolar macrophages, respiratory membrane, and pulmonary capillaries.",Yes,Yes,2,high,resp-histo
103,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,Thoracic wall and diaphragm,"Identify the diaphragm, the intercostal muscles, and the three structures passing through the diaphragm at T8, T10, and T12.",Yes,Yes,3,high,resp-thoracic-diaphragm
104,4,"Respiratory, Lymphatic, Digestive and Endocrine",Respiratory,Respiratory disorders by structure affected,"Name common respiratory disorders and state which airway, alveolar, or pleural structure each one affects.",Yes,,2,support,resp-disorders
105,4,"Respiratory, Lymphatic, Digestive and Endocrine",Lymphatic System,Lymph pathway,"Define lymph and trace its one-way route from lymphatic capillaries through collecting vessels, nodes, trunks, and ducts back to the subclavian veins.",Yes,,2,core,w4-lymph-pathway
106,4,"Respiratory, Lymphatic, Digestive and Endocrine",Lymphatic System,Vessel and node structure,"Describe the structure of lymphatic capillaries, valved collecting vessels, and a lymph node including capsule, cortex, medulla, hilum, and afferent and efferent vessels.",Yes,Yes,2,high,w4-lymph-vessels-node
107,4,"Respiratory, Lymphatic, Digestive and Endocrine",Lymphatic System,Primary and secondary organs,"Sort red bone marrow, thymus, lymph nodes, spleen, tonsils, and MALT into primary and secondary lymphoid organs with location and role.",Yes,,2,core,w4-lymphatic-organs
108,4,"Respiratory, Lymphatic, Digestive and Endocrine",Lymphatic System,Lymphatic disorders,"Name edema, lymphedema, lymphadenopathy, lymphoma, splenomegaly, and tonsillitis and identify the structure each one affects.",Yes,,2,support,w4-lymphatic-disorders
109,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Four-layer gut wall,Name the four layers of the alimentary canal wall from lumen outward and state the dominant tissue of each.,Yes,Yes,2,core,w5-canal-wall
110,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Enteric nerve plexuses,Locate the submucosal and myenteric plexuses in the gut wall and match each to the wall layer it sits within.,Yes,Yes,2,support,w5-enteric-plexuses
111,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Peritoneum and folds,"Identify the parietal and visceral peritoneum, the peritoneal cavity, and the five folds greater omentum, lesser omentum, falciform ligament, mesentery, and mesocolon and state what each fold connects.",Yes,Yes,2,high,w5-peritoneum-folds
112,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Retroperitoneal organs,"Distinguish retroperitoneal organs from intraperitoneal ones and name the kidneys, pancreas, duodenum, and parts of the colon as retroperitoneal.",Yes,Yes,2,core,w5-retroperitoneal
113,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,"Mouth, pharynx, esophagus","Identify the oral cavity boundaries, hard and soft palate, uvula, fauces, tonsils, the three pharyngeal regions, and the esophagus with its hiatus.",Yes,Yes,2,core,w5-mouth-pharynx-esophagus
114,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Major canal sphincters,"Locate the upper and lower esophageal, pyloric, ileocecal, and internal and external anal sphincters and state which regions each one separates.",Yes,Yes,2,high,w5-canal-sphincters
115,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Stomach regions and features,"Identify the cardia, fundus, body, pyloric part, curvatures, rugae, and the three-layered muscularis of the stomach.",Yes,Yes,2,core,w5-stomach
116,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Small intestine and surface area,"Identify the duodenum, jejunum, and ileum and name the circular folds, villi, lacteal, and microvilli as features that expand absorptive surface area.",Yes,Yes,2,core,w5-small-intestine
117,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Large intestine features,"Identify the cecum, appendix, four parts of the colon, rectum, and anal canal along with the teniae coli, haustra, and omental appendices.",Yes,Yes,2,core,w5-large-intestine
118,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Trace the pathway of food,Trace a bite of food through every named segment of the alimentary canal in order from mouth to anus.,Yes,Yes,2,high,w5-food-pathway
119,4,"Respiratory, Lymphatic, Digestive and Endocrine",Alimentary Canal,Clinical anatomy of canal disorders,"Match GERD, hiatal hernia, peptic ulcer, appendicitis, diverticulosis, IBD, hemorrhoids, and colorectal cancer to the canal structure each one affects.",Yes,,3,high,w5-canal-disorders
120,4,"Respiratory, Lymphatic, Digestive and Endocrine",Accessory Organs,Teeth and tongue,"Identify the teeth and tongue with the lingual frenulum, papillae, intrinsic and extrinsic muscles, and lingual glands.",Yes,Yes,2,support,w5-teeth-tongue
121,4,"Respiratory, Lymphatic, Digestive and Endocrine",Accessory Organs,Salivary glands,"Locate the parotid, submandibular, and sublingual glands and state where the duct of each opens.",Yes,Yes,2,core,w5-salivary-glands
122,4,"Respiratory, Lymphatic, Digestive and Endocrine",Accessory Organs,Liver gross and lobule anatomy,"Identify the four liver lobes, falciform ligament, and ligamentum teres, and name the hepatocytes, sinusoids, canaliculi, and portal triad of the lobule.",Yes,Yes,2,core,w5-liver-gross-lobule
123,4,"Respiratory, Lymphatic, Digestive and Endocrine",Accessory Organs,Gallbladder and bile pathway,"Identify the gallbladder regions and trace bile from the canaliculi through the hepatic, cystic, and common bile ducts to the hepatopancreatic ampulla and duodenum.",Yes,Yes,2,core,w5-bile-path
124,4,"Respiratory, Lymphatic, Digestive and Endocrine",Accessory Organs,Pancreas structure,"Identify the head, body, and tail of the pancreas with its main and accessory ducts, major duodenal papilla, sphincter of Oddi, acini, and islets.",Yes,Yes,2,core,w5-pancreas
125,4,"Respiratory, Lymphatic, Digestive and Endocrine",Accessory Organs,Clinical anatomy of accessory disorders,"Match gallstones, cholecystitis, hepatitis, cirrhosis, jaundice, pancreatitis, and mumps to the accessory organ each one affects and explain how a stone at the ampulla can block bile and pancreatic flow at once.",Yes,,3,high,w5-accessory-disorders
