Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-017,Week 2,Skeletal,Bone Histology,Bone Classification,Short bones,Classify bones by shape and identify the gross parts of a long bone.,2,1,core,What shape class are cube-shaped bones like the carpals and tarsals?,Short bones.,Roughly cube-shaped.,Confusing short with irregular bones.,skeletal; bone classification; short bone
W2-018,Week 2,Skeletal,Bone Histology,Bone Classification,Flat bones,Classify bones by shape and identify the gross parts of a long bone.,2,1,core,"What shape class includes the sternum, ribs, and most skull bones?",Flat bones.,Thin and often curved.,Thinking flat bones are perfectly flat.,skeletal; bone classification; flat bone
W2-019,Week 2,Skeletal,Bone Histology,Bone Classification,Irregular bones,Classify bones by shape and identify the gross parts of a long bone.,4,2,core,What shape class includes the vertebrae and hip bones?,Irregular bones.,Complex shapes that fit no other group.,Confusing irregular with flat bones.,skeletal; bone classification; irregular bone
W2-020,Week 2,Skeletal,Bone Histology,Bone Classification,Sesamoid bones,Classify bones by shape and identify the gross parts of a long bone.,4,2,core,"What is a small bone formed within a tendon, like the patella?",A sesamoid bone.,Sesamoids protect tendons and improve leverage.,Thinking the patella is a short bone.,skeletal; bone classification; sesamoid
W2-021,Week 2,Skeletal,Bone Histology,Bone Classification,Classify femur,Classify bones by shape and identify the gross parts of a long bone.,4,2,core,The femur has a shaft and two expanded ends and is longer than wide. Which shape class?,Long bone.,The shaft-and-two-ends form defines it.,Guessing irregular for a large bone.,skeletal; bone classification; long bone
W2-022,Week 2,Skeletal,Bone Histology,Bone Classification,Classify carpal,Classify bones by shape and identify the gross parts of a long bone.,6,3,core,"A carpal is roughly cube-shaped. Which class, and how does it differ from a long bone?",Short bone; it lacks the shaft-and-two-ends form of a long bone.,Short bones are about as long as they are wide.,Calling any small bone sesamoid.,skeletal; bone classification; short bone
W2-023,Week 2,Skeletal,Bone Histology,Bone Classification,Flat vs irregular,Classify bones by shape and identify the gross parts of a long bone.,4,2,core,Compare flat and irregular bones.,Flat bones are thin and often curved; irregular bones have complex shapes fitting no other group.,Shape class groups bones by form.,Merging flat and irregular bones.,skeletal; bone classification
W2-024,Week 2,Skeletal,Bone Histology,Bone Classification,Classify patella,Classify bones by shape and identify the gross parts of a long bone.,4,2,core,The patella sits within the quadriceps tendon. Which shape class?,Sesamoid bone.,It formed inside a tendon.,Guessing short bone for the patella.,skeletal; bone classification; sesamoid; patella
W2-025,Week 2,Skeletal,Bone Histology,Bone Classification,Classify phalanx,Classify bones by shape and identify the gross parts of a long bone.,6,3,core,"A phalanx has a tiny shaft and two ends. Which class, despite being small?",Long bone.,"Class is defined by form, not size.",Assuming small finger bones are short bones.,skeletal; bone classification; long bone
W2-026,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Diaphysis,Classify bones by shape and identify the gross parts of a long bone.,3,1,core,What is the diaphysis?,"The shaft, a tube of compact bone around the medullary cavity.",It gives the bone its length and strength.,Confusing the diaphysis with the epiphysis.,skeletal; long bone; diaphysis
W2-027,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Epiphysis,Classify bones by shape and identify the gross parts of a long bone.,3,1,core,What is the epiphysis?,"Each expanded end, spongy bone under a thin compact shell.",The epiphyses meet neighboring bones at joints.,Confusing the epiphysis with the metaphysis.,skeletal; long bone; epiphysis
W2-028,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Metaphysis,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,What is the metaphysis?,The region between diaphysis and epiphysis that holds the growth plate or its remnant.,It is where lengthening happens during growth.,Thinking the metaphysis is the very end of the bone.,skeletal; long bone; metaphysis
W2-029,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Medullary cavity,Classify bones by shape and identify the gross parts of a long bone.,3,1,core,What is the medullary cavity?,The hollow core of the diaphysis that holds marrow.,It stores yellow marrow in the adult shaft.,Thinking the medullary cavity is in the epiphysis.,skeletal; long bone; medullary cavity
W2-030,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Articular cartilage,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,"What is articular cartilage, and what type is it?",Hyaline cartilage capping the epiphysis where it meets another bone.,It reduces friction at the joint surface.,Thinking articular cartilage is fibrocartilage.,skeletal; long bone; articular cartilage
W2-031,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Periosteum,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,What is the periosteum?,The connective tissue membrane covering the outer bone surface.,It carries vessels and supports appositional widening.,Confusing periosteum with endosteum.,skeletal; long bone; periosteum
W2-032,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Sharpey fibers,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,What are perforating (Sharpey) fibers?,Bundles of collagen that anchor the periosteum into the underlying bone.,They lock the outer membrane to the bone.,Confusing Sharpey fibers with canaliculi.,skeletal; long bone; Sharpey fibers
W2-033,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Nutrient foramen,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,What is the nutrient foramen?,The opening in the shaft where the nutrient artery enters the bone.,It admits the artery that feeds the bone's living cells.,Thinking the nutrient foramen is in the epiphysis.,skeletal; long bone; nutrient foramen
W2-034,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Endosteum,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,What is the endosteum?,The thin membrane lining the internal bone surfaces.,It lines the medullary cavity and spongy spaces.,Confusing endosteum with periosteum.,skeletal; long bone; endosteum
W2-035,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Epiphyseal line,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,What is the epiphyseal line?,The remnant of the growth plate after growth in length ends.,Its presence signals a mature skeleton.,Confusing the epiphyseal line with the epiphyseal plate.,skeletal; long bone; epiphyseal line
W2-036,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Marrow,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,Compare red and yellow marrow.,Red marrow fills the spongy bone of the epiphyses and forms blood cells; yellow marrow is fat in the adult shaft's medullary cavity.,Marrow type shifts with age and location.,Thinking all marrow forms blood cells.,skeletal; long bone; marrow
W2-037,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Red marrow,Classify bones by shape and identify the gross parts of a long bone.,3,1,core,Where is red marrow found in an adult long bone?,In the spongy bone of the epiphyses.,That is where blood cells are made.,Placing red marrow in the diaphysis.,skeletal; long bone; red marrow
W2-038,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Marrow function,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,Which marrow is the site of blood cell formation?,Red marrow.,Yellow marrow is a fat store.,Thinking yellow marrow makes blood cells.,skeletal; long bone; red marrow
W2-039,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Membranes,Classify bones by shape and identify the gross parts of a long bone.,5,2,core,Compare periosteum and endosteum by location.,Periosteum covers the outer surface; endosteum lines the internal surfaces.,Both carry bone-building cells.,Swapping the two membranes.,skeletal; long bone; periosteum; endosteum
W2-040,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Region bone type,Classify bones by shape and identify the gross parts of a long bone.,7,3,core,Compare the diaphysis and epiphysis by bone type.,The diaphysis is compact bone around a marrow cavity; the epiphysis is spongy bone under a thin compact shell.,Structure matches load at each region.,Thinking the epiphysis is solid compact bone.,skeletal; long bone; diaphysis; epiphysis
W2-041,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Joint surface,Classify bones by shape and identify the gross parts of a long bone.,7,3,core,"Why is articular cartilage, not periosteum, found at the very ends of a long bone?","The joint surface needs a smooth, low-friction hyaline cap, so periosteum stops where the cartilage begins.",Periosteum cannot glide against another bone.,Thinking periosteum covers the joint surface.,skeletal; long bone; articular cartilage
W2-042,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Region order,Classify bones by shape and identify the gross parts of a long bone.,7,3,core,"Trace a long bone from shaft to joint surface, naming the regions.","Diaphysis, metaphysis, epiphysis, then articular cartilage at the end.",The metaphysis sits between shaft and end.,Placing the metaphysis outside the epiphysis.,skeletal; long bone; regions
W2-043,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Skeletal maturity,Classify bones by shape and identify the gross parts of a long bone.,7,3,core,Why does the epiphyseal line indicate a mature skeleton?,"It is the closed remnant of the growth plate, so lengthening has ended.","A line, not a gap, means growth is done.",Thinking the epiphyseal line means active growth.,skeletal; long bone; epiphyseal line; clinical
W2-044,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Child X-ray,Classify bones by shape and identify the gross parts of a long bone.,7,3,core,A child's X-ray shows a gap where an adult would show a line. What is the gap?,"The epiphyseal (growth) plate, which is cartilage and does not show on X-ray.","Cartilage is radiolucent, so it reads as a gap.",Reading the growth-plate gap as a fracture.,skeletal; long bone; growth plate; clinical
W2-045,Week 2,Skeletal,Bone Histology,Long Bone Anatomy,Blood supply,Classify bones by shape and identify the gross parts of a long bone.,7,3,core,Why does the nutrient artery matter to a long bone?,It enters through the nutrient foramen to supply the bone's living cells.,Bone is living tissue that needs a blood supply.,Thinking bone gets nutrients only from the marrow.,skeletal; long bone; nutrient artery
W2-046,Week 2,Skeletal,Bone Histology,Compact Bone,Osteon,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",3,1,core,What is an osteon?,"The Haversian system, the structural unit of compact bone, a set of tubes around a canal.",Compact bone is built osteon by osteon.,Thinking spongy bone is built of osteons.,skeletal; compact bone; osteon
W2-047,Week 2,Skeletal,Bone Histology,Compact Bone,Central canal,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What is the central (Haversian) canal?,The canal at the core of the osteon that carries blood vessels and nerves.,It feeds the osteon from its center.,Confusing central canals with canaliculi.,skeletal; compact bone; central canal
W2-048,Week 2,Skeletal,Bone Histology,Compact Bone,Perforating canal,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What is a perforating (Volkmann) canal?,A canal running crosswise that links central canals.,It carries vessels between osteons.,Confusing Volkmann with Haversian canals.,skeletal; compact bone; Volkmann canal
W2-049,Week 2,Skeletal,Bone Histology,Compact Bone,Lamellae,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",3,1,core,What are lamellae?,The concentric rings of bony matrix around the central canal.,Their layering gives compact bone its strength.,Thinking lamellae are the bone cells.,skeletal; compact bone; lamellae
W2-050,Week 2,Skeletal,Bone Histology,Compact Bone,Lacunae,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What are lacunae in bone?,"Small cavities between the lamellae, each holding one osteocyte.",One osteocyte lives in each lacuna.,Confusing lacunae with canaliculi.,skeletal; compact bone; lacunae
W2-051,Week 2,Skeletal,Bone Histology,Compact Bone,Canaliculi,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What are canaliculi?,Tiny channels connecting lacunae that let osteocytes exchange materials.,They are how osteocytes stay fed inside solid bone.,Thinking canaliculi carry large vessels.,skeletal; compact bone; canaliculi
W2-052,Week 2,Skeletal,Bone Histology,Compact Bone,Interstitial lamellae,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What are interstitial lamellae?,Leftover fragments of old osteons filling gaps between intact osteons.,They are remnants of remodeled bone.,Confusing interstitial with circumferential lamellae.,skeletal; compact bone; interstitial lamellae
W2-053,Week 2,Skeletal,Bone Histology,Compact Bone,Circumferential lamellae,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What are circumferential lamellae?,Rings of bone that wrap the entire outer and inner surface of the shaft.,"They encircle the whole shaft, not a single osteon.",Confusing circumferential with the concentric lamellae of an osteon.,skeletal; compact bone; circumferential lamellae
W2-054,Week 2,Skeletal,Bone Histology,Compact Bone,Osteon parts,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,Name the parts of an osteon from the center outward.,"Central canal, then concentric lamellae, with lacunae between them connected by canaliculi.",Vessels sit at the core; cells sit in the rings.,Putting the lacunae at the center.,skeletal; compact bone; osteon
W2-055,Week 2,Skeletal,Bone Histology,Compact Bone,Osteocyte feeding,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,How do osteocytes get nutrients deep inside solid compact bone?,Through canaliculi that connect their lacunae to the vessels in the central canal.,Solid bone still feeds its cells through tiny channels.,Thinking osteocytes are fed directly by the surrounding matrix.,skeletal; compact bone; canaliculi; osteocyte
W2-056,Week 2,Skeletal,Bone Histology,Compact Bone,Canal direction,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,Compare central and perforating canals by direction.,Central (Haversian) canals run lengthwise at the osteon core; perforating (Volkmann) canals run crosswise linking them.,Together they form a connected supply network.,Thinking both run in the same direction.,skeletal; compact bone; canals
W2-057,Week 2,Skeletal,Bone Histology,Compact Bone,Lacuna role,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",3,1,core,Which structure holds one osteocyte in compact bone?,A lacuna.,Canaliculi radiate from each lacuna.,Confusing a lacuna with a lamella.,skeletal; compact bone; lacuna
W2-058,Week 2,Skeletal,Bone Histology,Compact Bone,Central canal contents,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What runs through the central canal of an osteon?,Blood vessels and nerves.,This is the osteon's supply line.,Thinking the central canal holds marrow.,skeletal; compact bone; central canal
W2-059,Week 2,Skeletal,Bone Histology,Compact Bone,Lamellae comparison,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,Compare interstitial and circumferential lamellae.,Interstitial lamellae are old osteon fragments between osteons; circumferential lamellae wrap the whole shaft surface.,Neither belongs to a single intact osteon.,Thinking both are parts of one osteon.,skeletal; compact bone; lamellae
W2-060,Week 2,Skeletal,Bone Histology,Compact Bone,Stress alignment,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,Why is compact bone strongest along the long axis of the bone?,Its osteons align with the lines of stress along that axis.,A twisting force off that axis is the one that tends to break it.,Thinking bone is equally strong in all directions.,skeletal; compact bone; osteon; stress
W2-061,Week 2,Skeletal,Bone Histology,Compact Bone,Slide ID,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,A slide shows concentric rings around a central canal with lacunae between them. Which bone tissue?,"Compact bone, an osteon.",The osteon is the signature of compact bone.,Guessing spongy bone for a ringed structure.,skeletal; compact bone; osteon; classification
W2-062,Week 2,Skeletal,Bone Histology,Compact Bone,Torsion,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,A twisting force breaks a long bone. Which structural fact explains the vulnerability?,"Osteons run along the long axis, so an off-axis twisting force finds the weak direction.","Bone is anisotropic, strongest along its grain.",Thinking bones break most easily under straight-line pull.,skeletal; compact bone; osteon; board
W2-063,Week 2,Skeletal,Bone Histology,Compact Bone,Haversian system,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,What is the Haversian system another name for?,The osteon.,Haversian canal names the central canal at its core.,Thinking the Haversian system is spongy bone.,skeletal; compact bone; osteon
W2-064,Week 2,Skeletal,Bone Histology,Compact Bone,Volkmann role,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,Which canal carries vessels crosswise between osteons?,The perforating (Volkmann) canal.,It links the central canals.,Naming the central canal instead.,skeletal; compact bone; Volkmann canal
W2-065,Week 2,Skeletal,Bone Histology,Compact Bone,Two canal systems,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,Why does compact bone need both central and perforating canals?,"Central canals carry vessels along each osteon and perforating canals connect them, so blood reaches every osteon.",One canal type alone would leave osteons unconnected.,Thinking a single canal type would suffice.,skeletal; compact bone; canals
W2-066,Week 2,Skeletal,Bone Histology,Spongy Bone,Trabeculae,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",3,1,core,What are trabeculae?,The open lattice of bony struts that forms spongy bone.,They are aligned along lines of stress.,Confusing trabeculae with osteons.,skeletal; spongy bone; trabeculae
W2-067,Week 2,Skeletal,Bone Histology,Spongy Bone,No osteons,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,Does spongy bone contain osteons?,"No; spongy bone has no osteons, and its spaces hold red marrow.","Its struts, not rings, carry the load.",Thinking spongy bone is built of osteons like compact bone.,skeletal; spongy bone; trabeculae
W2-068,Week 2,Skeletal,Bone Histology,Spongy Bone,Stress lines,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,Why are trabeculae aligned along lines of stress?,So spongy bone braces the bone where load is applied while staying light.,Alignment gives strength without extra weight.,Thinking trabeculae are randomly arranged.,skeletal; spongy bone; trabeculae; stress
W2-069,Week 2,Skeletal,Bone Histology,Spongy Bone,Unit comparison,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",5,2,core,Compare compact and spongy bone by structural unit.,Compact bone is built of osteons; spongy bone is built of trabeculae with no osteons.,Different units suit different loads.,Thinking both use osteons.,skeletal; spongy bone; compact bone
W2-070,Week 2,Skeletal,Bone Histology,Spongy Bone,Slide ID,"Describe the microanatomy of compact bone, centered on the osteon, and contrast it with spongy bone.",7,3,core,A bone region is an open strut lattice filled with red marrow and no osteons. Which bone tissue?,Spongy bone.,"Trabeculae plus marrow, no osteons, marks spongy bone.",Guessing compact bone.,skeletal; spongy bone; classification
W2-071,Week 2,Skeletal,Bone Histology,Bone Cells,Osteogenic cell,Identify the four bone cell types and what each one does.,3,1,core,Which bone cell divides to produce new osteoblasts?,"The osteogenic cell, the stem cell of bone.",It is the source of the bone-building line.,Thinking osteoblasts divide to make more osteoblasts.,skeletal; bone cells; osteogenic cell
W2-072,Week 2,Skeletal,Bone Histology,Bone Cells,Osteoblast,Identify the four bone cell types and what each one does.,5,2,core,"What does an osteoblast do, and what does it become?",It builds and secretes new bone matrix and becomes an osteocyte once surrounded by matrix.,Building traps the cell in its own product.,Confusing osteoblasts (build) with osteoclasts (break down).,skeletal; bone cells; osteoblast
W2-073,Week 2,Skeletal,Bone Histology,Bone Cells,Osteocyte,Identify the four bone cell types and what each one does.,5,2,core,"What does an osteocyte do, and where does it sit?","It maintains the bone matrix day to day, sitting in a lacuna.",It is a retired osteoblast now maintaining bone.,Thinking osteocytes build new bone.,skeletal; bone cells; osteocyte
W2-074,Week 2,Skeletal,Bone Histology,Bone Cells,Osteoclast,Identify the four bone cell types and what each one does.,5,2,core,Which bone cell breaks down and resorbs bone matrix?,The osteoclast.,Resorption lets bone remodel and release minerals.,Confusing osteoclast with osteoblast.,skeletal; bone cells; osteoclast
W2-075,Week 2,Skeletal,Bone Histology,Bone Cells,Osteoclast origin,Identify the four bone cell types and what each one does.,5,2,core,How does the osteoclast's origin differ from the other bone cells?,"It is a large multinucleated cell from a blood-cell line, unlike the other three.",The other three come from osteogenic stem cells.,Thinking osteoclasts come from osteoblasts.,skeletal; bone cells; osteoclast
W2-076,Week 2,Skeletal,Bone Histology,Bone Cells,Build vs break,Identify the four bone cell types and what each one does.,6,2,core,Compare osteoblasts and osteoclasts by function.,Osteoblasts build bone matrix; osteoclasts resorb it.,"The 'b' builds, the 'c' consumes.",Swapping the two similarly named cells.,skeletal; bone cells; osteoblast; osteoclast
W2-077,Week 2,Skeletal,Bone Histology,Bone Cells,Lineage order,Identify the four bone cell types and what each one does.,8,3,core,Put the osteogenic bone-cell lineage in order.,"Osteogenic cell divides to an osteoblast, which becomes an osteocyte once trapped in matrix.","The line runs one way, from stem cell to maintainer.",Thinking osteocytes turn back into osteoblasts.,skeletal; bone cells; lineage
W2-078,Week 2,Skeletal,Bone Histology,Bone Cells,Resorption defect,Identify the four bone cell types and what each one does.,8,3,core,A cell can no longer break down bone matrix. Which bone cell is defective?,The osteoclast.,Failed resorption blocks normal remodeling.,Blaming osteoblasts for failed resorption.,skeletal; bone cells; osteoclast; clinical
W2-079,Week 2,Skeletal,Bone Histology,Bone Cells,Matrix defect,Identify the four bone cell types and what each one does.,8,3,core,A cell can no longer secrete new bone matrix. Which bone cell is impaired?,The osteoblast.,No matrix building means no new bone.,Blaming osteocytes for failed matrix building.,skeletal; bone cells; osteoblast; clinical
W2-080,Week 2,Skeletal,Bone Histology,Bone Cells,Opposite jobs,Identify the four bone cell types and what each one does.,8,3,core,Osteoblasts and osteoclasts have opposite jobs and different origins. Contrast both.,Osteoblasts build matrix and arise from osteogenic stem cells; osteoclasts resorb matrix and arise from a blood-cell line.,"Opposite jobs, opposite lineages.",Assuming both arise from the same stem cell.,skeletal; bone cells; osteoblast; osteoclast
W2-081,Week 2,Skeletal,Bone Histology,Bone Cells,Osteocyte role,Identify the four bone cell types and what each one does.,4,1,core,Which mature bone cell maintains the matrix from within a lacuna?,The osteocyte.,It keeps the matrix healthy over time.,Confusing the osteocyte with the osteoblast.,skeletal; bone cells; osteocyte
W2-082,Week 2,Skeletal,Bone Histology,Bone Cells,Balance,Identify the four bone cell types and what each one does.,6,2,core,"If bone building and resorption fall out of balance toward resorption, which cell is relatively overactive?",The osteoclast.,Net loss means resorption outpaces building.,Thinking overactive osteoblasts cause net bone loss.,skeletal; bone cells; osteoclast; board
W2-083,Week 2,Skeletal,Bone Histology,Ossification,Intramembranous,"Outline how bones form and grow, using the growth plate and its zones in order.",4,1,core,"What is intramembranous ossification, and what does it build?",Bone forming directly within a connective tissue membrane; it builds the flat bones of the skull.,No cartilage model is used.,Thinking skull bones form from a cartilage model.,skeletal; ossification; intramembranous
W2-084,Week 2,Skeletal,Bone Histology,Ossification,Endochondral,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,"What is endochondral ossification, and what does it build?",Bone replacing a hyaline cartilage model; it builds most bones of the body.,A cartilage template is gradually replaced.,Thinking most bones form directly in membrane.,skeletal; ossification; endochondral
W2-085,Week 2,Skeletal,Bone Histology,Ossification,Route comparison,"Outline how bones form and grow, using the growth plate and its zones in order.",6,2,core,Compare intramembranous and endochondral ossification by starting tissue.,Intramembranous starts from a connective tissue membrane; endochondral starts from a hyaline cartilage model.,The starting tissue is the key difference.,Swapping the two starting tissues.,skeletal; ossification
