Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-130,Week 2,Skeletal,Skull,Temporal Bone,Mandibular fossa,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the mandibular fossa of the temporal bone receive?,"The mandible, forming the temporomandibular joint.",This is the jaw joint.,Thinking it receives the maxilla.,skull; temporal bone; mandibular fossa; TMJ
W2-131,Week 2,Skeletal,Skull,Temporal Bone,External acoustic meatus,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What is the external acoustic meatus?,The opening of the ear canal in the temporal bone.,It leads to the eardrum.,Confusing it with the internal acoustic meatus.,skull; temporal bone; external acoustic meatus
W2-132,Week 2,Skeletal,Skull,Temporal Bone,Mastoid process,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What is the mastoid process?,"The bump behind the ear, a muscle attachment, filled with air cells.",Its air cells can harbor infection.,Thinking the mastoid is solid bone.,skull; temporal bone; mastoid process
W2-133,Week 2,Skeletal,Skull,Temporal Bone,Styloid process,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What is the styloid process?,The slender spike below the ear that anchors tongue and neck muscles.,A thin pointed muscle anchor.,Confusing the styloid with the mastoid process.,skull; temporal bone; styloid process
W2-134,Week 2,Skeletal,Skull,Temporal Bone,Petrous part,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the petrous part of the temporal bone house?,The middle and inner ear.,It is the dense wedge of the cranial base.,Thinking the petrous part houses the brain.,skull; temporal bone; petrous part
W2-135,Week 2,Skeletal,Skull,Temporal Bone,Internal acoustic meatus,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What passes through the internal acoustic meatus?,The nerves for hearing and facial movement.,It carries CN VII and CN VIII.,Thinking it carries the optic nerve.,skull; temporal bone; internal acoustic meatus
W2-136,Week 2,Skeletal,Skull,Temporal Bone,Stylomastoid foramen,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What exits the stylomastoid foramen?,The facial nerve.,It lies between the styloid and mastoid processes.,Thinking the trigeminal nerve exits here.,skull; temporal bone; stylomastoid foramen
W2-137,Week 2,Skeletal,Skull,Temporal Bone,Meatus comparison,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",7,3,core,Compare the external and internal acoustic meatus.,The external is the ear canal opening; the internal carries the nerves for hearing and facial movement.,"One is a canal for sound, one for nerves.",Thinking both are the same opening.,skull; temporal bone; acoustic meatus
W2-138,Week 2,Skeletal,Skull,Temporal Bone,Classify mastoid,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",7,3,core,A temporal marking behind the ear is air-filled and anchors muscles. Which process?,The mastoid process.,Air cells plus muscle attachment mark the mastoid.,Guessing the styloid process.,skull; temporal bone; mastoid process; classification
W2-139,Week 2,Skeletal,Skull,Occipital Bone,Foramen magnum,Name the major foramina of the skull and the structure each one transmits.,3,1,core,"What is the foramen magnum, and which bone contains it?",The large central opening in the occipital bone for the spinal cord.,It is the passage between brain and spinal cord.,Placing the foramen magnum in the temporal bone.,skull; occipital bone; foramen magnum
W2-140,Week 2,Skeletal,Skull,Occipital Bone,Occipital condyles,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What do the occipital condyles articulate with?,"The atlas, C1.",This forms the atlanto-occipital joint.,"Thinking they articulate with the axis, C2.",skull; occipital bone; occipital condyles
W2-141,Week 2,Skeletal,Skull,Occipital Bone,EOP,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",3,1,core,What is the external occipital protuberance?,The midline bump felt at the back of the head.,A palpable surface landmark.,Confusing it with the mastoid process.,skull; occipital bone; EOP
W2-142,Week 2,Skeletal,Skull,Occipital Bone,Hypoglossal canal,Name the major foramina of the skull and the structure each one transmits.,5,2,core,What passes through the hypoglossal canal?,"The hypoglossal nerve, CN XII, to the tongue muscles.",It moves the tongue.,Thinking it carries the facial nerve.,skull; occipital bone; hypoglossal canal
W2-143,Week 2,Skeletal,Skull,Occipital Bone,Foramen magnum contents,Name the major foramina of the skull and the structure each one transmits.,5,2,core,Name a structure that passes through the foramen magnum.,"The spinal cord (medulla), the vertebral arteries, and the spinal accessory nerve (CN XI).",More than the cord passes through it.,Thinking only the spinal cord passes.,skull; occipital bone; foramen magnum
W2-144,Week 2,Skeletal,Skull,Occipital Bone,Atlanto-occipital joint,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What movement does the atlanto-occipital joint allow?,The 'yes' nod.,Condyles rocking on the atlas produce nodding.,Thinking it allows the 'no' head rotation.,skull; occipital bone; atlanto-occipital joint
W2-145,Week 2,Skeletal,Skull,Occipital Bone,Herniation,Name the major foramina of the skull and the structure each one transmits.,7,3,core,Why is rising intracranial pressure an emergency at the foramen magnum?,"Brain tissue can be forced down through it, the one large opening to the spinal cord.","The rigid skull cannot expand, so pressure has one exit.",Thinking the skull can expand to relieve pressure.,skull; foramen magnum; clinical
W2-146,Week 2,Skeletal,Skull,Occipital Bone,Yes nod,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",7,3,core,A patient nods 'yes'. Which occipital joint is moving?,The atlanto-occipital joint.,Nodding is condyles on the atlas.,Confusing the yes nod with the atlanto-axial 'no' joint.,skull; occipital bone; atlanto-occipital joint; application
W2-147,Week 2,Skeletal,Skull,Occipital Bone,Joint board,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",7,3,core,The occipital condyles meet C1 for nodding. Name the joint and its motion.,The atlanto-occipital joint; the 'yes' nod.,Occipital condyles plus C1 equals the yes joint.,Naming the atlanto-axial joint.,skull; occipital bone; board
W2-148,Week 2,Skeletal,Skull,Sphenoid Bone,Sphenoid body,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the body of the sphenoid contain?,The sphenoid sinus.,An air space deep in the skull.,Thinking the body contains the pituitary directly.,skull; sphenoid; body
W2-149,Week 2,Skeletal,Skull,Sphenoid Bone,Sella turcica,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What sits in the sella turcica?,The pituitary gland.,The saddle cradles the gland.,Thinking the sella turcica holds the optic nerve.,skull; sphenoid; sella turcica
W2-150,Week 2,Skeletal,Skull,Sphenoid Bone,Greater wings,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What do the greater wings of the sphenoid help form?,"Part of the cranial floor, the orbit, and the lateral skull wall.",Broad lateral wings with wide reach.,Confusing greater with lesser wings.,skull; sphenoid; greater wings
W2-151,Week 2,Skeletal,Skull,Sphenoid Bone,Lesser wings,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What do the lesser wings of the sphenoid form?,Part of the anterior cranial fossa.,Smaller anterior wings.,Swapping greater and lesser wings.,skull; sphenoid; lesser wings
W2-152,Week 2,Skeletal,Skull,Sphenoid Bone,Pterygoid processes,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What do the pterygoid processes anchor?,The chewing muscles.,Downward projections for mastication muscles.,Thinking they anchor the tongue.,skull; sphenoid; pterygoid processes
W2-153,Week 2,Skeletal,Skull,Sphenoid Bone,Optic canal,Name the major foramina of the skull and the structure each one transmits.,5,2,core,What passes through the optic canal of the sphenoid?,"The optic nerve, CN II.",It carries vision from the eye.,Thinking the superior orbital fissure carries the optic nerve.,skull; sphenoid; optic canal
W2-154,Week 2,Skeletal,Skull,Sphenoid Bone,Superior orbital fissure,Name the major foramina of the skull and the structure each one transmits.,5,2,core,What passes through the superior orbital fissure?,The nerves that move the eye.,"Eye-movement nerves, not vision itself.",Confusing it with the optic canal.,skull; sphenoid; superior orbital fissure
W2-155,Week 2,Skeletal,Skull,Sphenoid Bone,Classify sella,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",7,3,core,A saddle on the sphenoid body cradles a gland. Name the marking and the gland.,The sella turcica; the pituitary gland.,Saddle plus gland points to the sella turcica.,Guessing the frontal sinus.,skull; sphenoid; sella turcica; classification
W2-156,Week 2,Skeletal,Skull,Ethmoid Bone,Crista galli,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,"What is the crista galli, and what attaches to it?",The upright ridge where the falx cerebri attaches.,It anchors a fold of the brain covering.,Thinking the crista galli passes nerves.,skull; ethmoid; crista galli
W2-157,Week 2,Skeletal,Skull,Ethmoid Bone,Cribriform plate,Name the major foramina of the skull and the structure each one transmits.,5,2,core,What passes through the cribriform plate?,"The olfactory nerve filaments, CN I.",Smell fibers pierce this perforated plate.,Thinking the optic nerve passes here.,skull; ethmoid; cribriform plate
W2-158,Week 2,Skeletal,Skull,Ethmoid Bone,Perpendicular plate,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the perpendicular plate of the ethmoid form?,The upper part of the nasal septum.,It is the septum's bony top.,Confusing its role with the vomer's.,skull; ethmoid; perpendicular plate
W2-159,Week 2,Skeletal,Skull,Ethmoid Bone,Lateral masses,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What do the lateral masses of the ethmoid contain?,The ethmoidal air cells.,These are the ethmoidal sinuses.,Thinking they contain the frontal sinus.,skull; ethmoid; lateral masses
W2-160,Week 2,Skeletal,Skull,Ethmoid Bone,Ethmoid conchae,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,Which conchae does the ethmoid contribute to the nasal cavity?,The superior and middle conchae.,The inferior concha is a separate bone.,Thinking the ethmoid forms the inferior concha.,skull; ethmoid; conchae
W2-161,Week 2,Skeletal,Skull,Ethmoid Bone,Classify cribriform,Name the major foramina of the skull and the structure each one transmits.,7,3,core,A perforated horizontal plate transmits smell fibers. Name the plate and its bone.,The cribriform plate of the ethmoid.,Perforated plate plus smell equals cribriform.,Guessing the sphenoid.,skull; ethmoid; cribriform plate; classification
W2-162,Week 2,Skeletal,Skull,Ethmoid Bone,Smell loss,Name the major foramina of the skull and the structure each one transmits.,7,3,core,Why can a blow to the head disrupt the sense of smell?,It can shear the olfactory filaments where they cross the cribriform plate.,The thin filaments are vulnerable at the plate.,Thinking smell loss must come only from nasal blockage.,skull; ethmoid; cribriform plate; clinical
W2-163,Week 2,Skeletal,Skull,Facial Bones,Single facial bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,3,1,core,Which two facial bones are single?,The vomer and the mandible.,The other six facial bones are paired.,Thinking the maxilla is single.,skull; facial bones
W2-164,Week 2,Skeletal,Skull,Facial Bones,Maxillae,Distinguish the cranial bones from the facial bones and name the bones in each group.,5,2,core,What do the maxillae form?,"The upper jaw and anterior hard palate, and they hold the upper teeth.",The maxillae are the largest facial bones.,Thinking the maxillae form the lower jaw.,skull; facial bones; maxillae
W2-165,Week 2,Skeletal,Skull,Facial Bones,Palatine bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,5,2,core,What do the palatine bones form?,The posterior hard palate and part of the orbit.,They sit behind the maxillae.,Confusing palatine with the maxillae.,skull; facial bones; palatine bones
W2-166,Week 2,Skeletal,Skull,Facial Bones,Zygomatic bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,5,2,core,What do the zygomatic bones form?,The cheekbones.,They complete the zygomatic arch.,Confusing zygomatic with nasal bones.,skull; facial bones; zygomatic
W2-167,Week 2,Skeletal,Skull,Facial Bones,Nasal bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,5,2,core,What do the nasal bones form?,The bridge of the nose.,The rest of the nose is cartilage.,Thinking the nasal bones form the septum.,skull; facial bones; nasal bones
W2-168,Week 2,Skeletal,Skull,Facial Bones,Lacrimal bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,5,2,core,"What do the lacrimal bones form, and what groove do they carry?","The medial wall of the orbit, grooved for the tear duct.",Tears drain through this groove.,Thinking lacrimal bones form the cheek.,skull; facial bones; lacrimal
W2-169,Week 2,Skeletal,Skull,Facial Bones,Vomer,Distinguish the cranial bones from the facial bones and name the bones in each group.,5,2,core,What does the vomer form?,The inferior part of the nasal septum.,It sits below the ethmoid's perpendicular plate.,Confusing the vomer with the perpendicular plate of the ethmoid.,skull; facial bones; vomer
W2-170,Week 2,Skeletal,Skull,Facial Bones,Mandible,Distinguish the cranial bones from the facial bones and name the bones in each group.,3,1,core,Which is the only freely movable bone of the skull?,The mandible.,It moves at the temporomandibular joint.,Thinking the maxilla moves.,skull; facial bones; mandible
W2-171,Week 2,Skeletal,Skull,Facial Bones,Classify vomer,Distinguish the cranial bones from the facial bones and name the bones in each group.,7,3,core,A single facial bone forms the lower part of the nasal septum. Which bone?,The vomer.,"Single, midline, lower septum equals vomer.",Guessing the ethmoid.,skull; facial bones; vomer; classification
W2-172,Week 2,Skeletal,Skull,Maxillae,Maxillary sinus,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the body of the maxilla contain?,The maxillary sinus.,The largest paranasal sinus.,Thinking it contains the frontal sinus.,skull; maxillae; maxillary sinus
W2-173,Week 2,Skeletal,Skull,Maxillae,Alveolar process,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the alveolar process of the maxilla hold?,The upper teeth.,Teeth sit in this ridge.,Confusing it with the mandibular alveolar process.,skull; maxillae; alveolar process
W2-174,Week 2,Skeletal,Skull,Maxillae,Palatine process,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,What does the palatine process of the maxilla form?,The anterior part of the hard palate.,The front of the bony palate.,Thinking the palatine bones form the anterior palate.,skull; maxillae; palatine process
W2-175,Week 2,Skeletal,Skull,Maxillae,Infraorbital foramen,Name the major foramina of the skull and the structure each one transmits.,5,2,core,What passes through the infraorbital foramen?,The infraorbital nerve to the face.,It lies just below the orbit.,Thinking the mental nerve passes here.,skull; maxillae; infraorbital foramen
W2-176,Week 2,Skeletal,Skull,Maxillae,Hard palate parts,"Identify the bones that form the orbit, the nasal cavity, and the hard palate, and locate the paranasal sinuses.",8,3,core,Compare the maxilla's palatine process and the palatine bones in forming the hard palate.,The maxillary palatine processes form the front; the palatine bones form the back.,Two bones build one palate.,Thinking one bone forms the whole hard palate.,skull; hard palate; maxillae; palatine bones
W2-177,Week 2,Skeletal,Skull,Mandible,Body,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,What is the body of the mandible?,"The horizontal, U-shaped portion that holds the lower teeth.",It carries the lower dental arch.,Confusing the body with the ramus.,skull; mandible; body
W2-178,Week 2,Skeletal,Skull,Mandible,Ramus,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,What is the ramus of the mandible?,"The vertical portion on each side, rising to two processes.",It links the body to the skull.,Thinking the ramus holds teeth.,skull; mandible; ramus
W2-179,Week 2,Skeletal,Skull,Mandible,Angle,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,What is the mandibular angle?,The corner where the body meets the ramus.,A palpable jaw landmark.,Confusing the angle with the condyle.,skull; mandible; angle
W2-180,Week 2,Skeletal,Skull,Mandible,Condylar process,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,Which mandibular process meets the temporal bone at the jaw joint?,The condylar process.,Its head forms the TMJ.,Naming the coronoid process.,skull; mandible; condylar process
W2-181,Week 2,Skeletal,Skull,Mandible,Coronoid process,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,Where does the temporalis chewing muscle attach on the mandible?,The coronoid process.,The anterior ramus process.,Confusing the coronoid with the condylar process.,skull; mandible; coronoid process
W2-182,Week 2,Skeletal,Skull,Mandible,Mental foramen,Name the major foramina of the skull and the structure each one transmits.,6,2,core,What passes through the mental foramen?,The nerve to the chin and lower lip.,It opens on the outer body of the mandible.,Thinking the infraorbital nerve passes here.,skull; mandible; mental foramen
W2-183,Week 2,Skeletal,Skull,Mandible,Dental block,Name the major foramina of the skull and the structure each one transmits.,8,3,core,"Which mandibular opening is the target for a dental block, and what does it admit?","The mandibular foramen, which admits the nerve to the lower teeth.",Anesthetic here numbs the lower teeth.,Targeting the mental foramen for a lower-tooth block.,skull; mandible; mandibular foramen; clinical
W2-184,Week 2,Skeletal,Skull,Mandible,Process comparison,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",8,3,core,Compare the condylar and coronoid processes of the mandible.,The condylar process forms the jaw joint with the temporal bone; the coronoid process anchors the temporalis muscle.,Joint versus muscle attachment.,Swapping the roles of the two processes.,skull; mandible; processes
W2-185,Week 2,Skeletal,Skull,Sutures,Suture definition,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,1,core,What is a suture?,An immovable fibrous joint between skull bones.,Sutures lock the skull bones together.,Thinking a suture is a movable joint.,skull; sutures
W2-186,Week 2,Skeletal,Skull,Sutures,Coronal,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,Which suture joins the frontal bone to the two parietal bones?,The coronal suture.,It runs across the top behind the forehead.,Naming the sagittal suture.,skull; sutures; coronal
W2-187,Week 2,Skeletal,Skull,Sutures,Lambdoid,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,Which suture joins the parietal bones to the occipital bone?,The lambdoid suture.,It is at the back of the skull.,Confusing the lambdoid with the sagittal suture.,skull; sutures; lambdoid
W2-188,Week 2,Skeletal,Skull,Sutures,Squamous,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",6,2,core,Which suture joins a parietal bone to a temporal bone?,The squamous suture.,One on each lower side of the skull.,Naming the coronal suture.,skull; sutures; squamous
W2-189,Week 2,Skeletal,Skull,Sutures,Pterion,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",8,3,core,"What is the pterion, and why is it clinically dangerous?","The H-shaped junction of the frontal, parietal, temporal, and sphenoid bones, the thinnest skull point, with the middle meningeal artery beneath it.",A blow there can tear the artery and bleed into the skull.,"Thinking the pterion is a thick, well-protected area.",skull; sutures; pterion; clinical
W2-190,Week 2,Skeletal,Skull,Fontanelles,Definition,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,1,core,What is a fontanelle?,A fibrous membrane gap between the bones of an infant skull.,They let the skull compress at birth and grow.,Thinking fontanelles are sutures.,skull; fontanelles
W2-191,Week 2,Skeletal,Skull,Fontanelles,Anterior,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,1,core,"Which is the largest fontanelle, and when does it close?","The anterior fontanelle, closing about 18 to 24 months.",It is the classic 'soft spot'.,Thinking the posterior fontanelle is largest.,skull; fontanelles; anterior
W2-192,Week 2,Skeletal,Skull,Fontanelles,Posterior,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,1,core,"Where is the posterior fontanelle, and when does it close?","Where the parietal bones meet the occipital bone, closing about 2 months.",It closes earliest of the four.,Confusing it with the anterior fontanelle.,skull; fontanelles; posterior
