Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-211,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Classify lumbar,Name the regions of the vertebral column and the number of vertebrae in each.,6,3,core,A region has five large vertebrae in the lower back with no rib joints. Which region?,Lumbar.,"Large, ribless vertebrae are lumbar.",Guessing thoracic.,spine; lumbar; classification
W2-212,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,33 to 26,Name the regions of the vertebral column and the number of vertebrae in each.,6,3,core,The developing column has 33 vertebrae but the adult has 26. Explain the drop.,Five sacral and four coccygeal vertebrae fuse into the sacrum and coccyx.,"Fusion, not loss, reduces the count.",Thinking vertebrae are lost rather than fused.,spine; overview; board
W2-213,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Number,Identify the normal curvatures of the spine and tell the primary from the secondary.,2,1,core,How many curvatures does the adult spine have?,Four.,They act together like a spring.,Thinking there are only two.,spine; curvatures
W2-214,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Primary,Identify the normal curvatures of the spine and tell the primary from the secondary.,4,2,core,"Which curvatures are primary, and when are they present?",Thoracic and sacral; present from birth.,Primary curves are there at birth.,Thinking the cervical curve is primary.,spine; curvatures; primary
W2-215,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Secondary,Identify the normal curvatures of the spine and tell the primary from the secondary.,4,2,core,"Which curvatures are secondary, and when do they develop?",Cervical and lumbar; they develop with infancy milestones.,Secondary curves follow motor milestones.,Thinking they are present at birth.,spine; curvatures; secondary
W2-216,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Cervical timing,Identify the normal curvatures of the spine and tell the primary from the secondary.,4,2,core,When does the cervical curvature develop?,As an infant holds up its head.,Head control shapes the neck curve.,Thinking it is present at birth.,spine; curvatures; cervical
W2-217,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Lumbar timing,Identify the normal curvatures of the spine and tell the primary from the secondary.,4,2,core,When does the lumbar curvature develop?,As a child stands and walks.,Upright posture shapes the lower-back curve.,Thinking it develops before walking.,spine; curvatures; lumbar
W2-218,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Primary vs secondary,Identify the normal curvatures of the spine and tell the primary from the secondary.,6,3,core,Compare primary and secondary curvatures by timing.,"Primary (thoracic, sacral) are present at birth; secondary (cervical, lumbar) develop with infancy milestones.",Timing separates the two kinds.,Thinking all four curves are present at birth.,spine; curvatures
W2-219,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Spring function,Identify the normal curvatures of the spine and tell the primary from the secondary.,4,2,core,What do the spinal curvatures do together?,"They act like a spring, giving strength, flexibility, and balance.",Curves absorb shock a straight column could not.,Thinking a straight spine would be stronger.,spine; curvatures
W2-220,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Curvatures,Abnormal curves,Identify the normal curvatures of the spine and tell the primary from the secondary.,6,3,core,Name the three abnormal spinal curvatures.,"Scoliosis (sideways), kyphosis (exaggerated thoracic), lordosis (exaggerated lumbar).",Each names a curve gone wrong.,Confusing kyphosis and lordosis.,spine; curvatures; clinical
W2-221,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Body,Label the parts of a typical vertebra and the structure of an intervertebral disc.,2,1,core,What is the vertebral body (centrum)?,"The thick, weight-bearing anterior portion.",It carries the column's load.,Confusing the body with the arch.,spine; vertebra; body
W2-222,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Arch,Label the parts of a typical vertebra and the structure of an intervertebral disc.,4,2,core,What is the vertebral arch?,The bony ring projecting from the back of the body.,It encloses and protects the cord.,Thinking the arch is the front of the vertebra.,spine; vertebra; arch
W2-223,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Pedicles,Label the parts of a typical vertebra and the structure of an intervertebral disc.,4,2,core,What are the pedicles?,The two short bars connecting the arch to the body.,They bridge body and arch.,Confusing pedicles with laminae.,spine; vertebra; pedicles
W2-224,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Laminae,Label the parts of a typical vertebra and the structure of an intervertebral disc.,4,2,core,What are the laminae?,The two flat plates that complete the arch behind.,They close the arch at the back.,Confusing laminae with pedicles.,spine; vertebra; laminae
W2-225,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Vertebral foramen,Label the parts of a typical vertebra and the structure of an intervertebral disc.,4,2,core,"What is the vertebral foramen, and what runs through it?",The opening enclosed by the body and arch; the spinal cord runs through it.,It is the cord's protective channel.,Confusing the vertebral foramen with the intervertebral foramen.,spine; vertebra; vertebral foramen
W2-226,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Spinous process,Label the parts of a typical vertebra and the structure of an intervertebral disc.,3,1,core,What is the spinous process?,The single projection pointing backward from the arch.,You can feel it down the back.,Confusing the spinous with a transverse process.,spine; vertebra; spinous process
W2-227,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Transverse processes,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,What are the transverse processes?,The two projections pointing laterally from the arch.,They are muscle and rib attachment points.,Confusing transverse with articular processes.,spine; vertebra; transverse processes
W2-228,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Articular processes,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,What do the articular processes do?,Their superior and inferior pairs join one vertebra to the next.,They link the column vertebra to vertebra.,Thinking articular processes only anchor ribs.,spine; vertebra; articular processes
W2-229,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Front to back,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,Trace a typical vertebra from front to back.,"Body, then pedicles, then the laminae completing the arch, with the spinous process at the back and transverse and articular processes off the arch.",The body is front; the spine points back.,Placing the spinous process at the front.,spine; vertebra; ordering
W2-230,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Foramen clinical,Label the parts of a typical vertebra and the structure of an intervertebral disc.,7,3,core,Why does the vertebral foramen matter clinically?,"It houses the spinal cord, so a vertebral fracture can threaten the cord.","The cord, not just the bone, is at risk.",Thinking a vertebral fracture is dangerous only for the bone.,spine; vertebra; vertebral foramen; clinical
W2-231,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Process comparison,Label the parts of a typical vertebra and the structure of an intervertebral disc.,7,3,core,Compare the spinous and transverse processes.,The spinous process is a single midline projection pointing backward; the transverse processes are a lateral pair.,"One points back, two point out.",Swapping their directions and numbers.,spine; vertebra; processes
W2-232,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Typical Vertebra,Classify spinous,Label the parts of a typical vertebra and the structure of an intervertebral disc.,7,3,core,A vertebral projection is single and points straight back. Which process?,The spinous process.,Single and posterior means spinous.,Guessing a transverse process.,spine; vertebra; spinous process; classification
W2-233,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Vertebral canal,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,What is the vertebral canal?,"The stacked vertebral foramina, the channel that holds the spinal cord.",Stacked foramina make one long channel.,Confusing the canal with an intervertebral foramen.,spine; vertebral canal
W2-234,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Intervertebral foramina,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,What are the intervertebral foramina?,The gaps between stacked vertebrae where the spinal nerves exit.,Nerves leave the cord through these gaps.,Confusing them with the vertebral foramen.,spine; intervertebral foramina
W2-235,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Disc,Label the parts of a typical vertebra and the structure of an intervertebral disc.,3,1,core,What is an intervertebral disc?,"A fibrocartilage pad between two vertebral bodies, a shock absorber.",It cushions the bodies during load.,Thinking the disc is bone.,spine; intervertebral disc
W2-236,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Anulus fibrosus,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,What is the anulus fibrosus?,The tough outer ring of the disc.,It contains the softer core.,Confusing the anulus with the nucleus.,spine; disc; anulus fibrosus
W2-237,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Nucleus pulposus,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,What is the nucleus pulposus?,"The soft, gel-like core of the disc.",Its give is what absorbs shock.,Confusing the nucleus with the anulus.,spine; disc; nucleus pulposus
W2-238,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Herniated disc,Label the parts of a typical vertebra and the structure of an intervertebral disc.,7,3,core,What is a herniated disc?,When the nucleus pulposus pushes through a torn anulus fibrosus and presses on a spinal nerve.,A torn ring lets the core escape.,Thinking a herniated disc is a broken vertebra.,spine; disc; herniation; clinical
W2-239,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Radiating pain,Label the parts of a typical vertebra and the structure of an intervertebral disc.,7,3,core,Why does a herniated disc cause pain that travels down a limb?,It presses on a spinal nerve at an intervertebral foramen.,The pinched nerve refers pain along its path.,Thinking disc pain stays only at the back.,spine; disc; herniation; clinical
W2-240,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Between Vertebrae,Foramen comparison,Label the parts of a typical vertebra and the structure of an intervertebral disc.,5,2,core,Compare the vertebral foramen and the intervertebral foramen.,The vertebral foramen houses the cord within one vertebra; the intervertebral foramina are gaps between vertebrae where nerves exit.,"One holds the cord, the others release nerves.",Thinking they are the same opening.,spine; foramina
W2-241,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Cervical body,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,What is the shape and size of a cervical vertebra body?,"Small and oval, the smallest vertebrae.",Light load means a small body.,Thinking cervical bodies are large.,spine; cervical
W2-242,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Transverse foramina,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,"What distinctive foramina do cervical vertebrae have, and what passes through?","Transverse foramina, passing the vertebral arteries.",Only cervical vertebrae carry these arteries.,Thinking all vertebrae have transverse foramina.,spine; cervical; transverse foramina
W2-243,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Cervical spinous,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is distinctive about the cervical spinous process?,"It is short and often bifid, or forked.",The forked tip marks many cervical vertebrae.,Thinking it is long.,spine; cervical; spinous process
W2-244,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Thoracic body,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,What is the shape of a thoracic vertebra body?,Heart-shaped.,A distinctive middle-region shape.,Confusing it with the kidney-shaped lumbar body.,spine; thoracic
W2-245,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Costal facets,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,"What distinctive facets do thoracic vertebrae have, and why?","Costal facets on the body and transverse processes, where the ribs articulate.",Ribs join only in the thoracic region.,Thinking lumbar vertebrae have costal facets.,spine; thoracic; costal facets
W2-246,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Thoracic spinous,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is distinctive about the thoracic spinous process?,Long and angled sharply downward.,The steep angle overlaps the vertebra below.,Thinking it is short and blunt.,spine; thoracic; spinous process
W2-247,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Lumbar body,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,What is the shape and size of a lumbar vertebra body?,"Thick and kidney-shaped, the largest vertebrae.",Heavy load demands a massive body.,Thinking lumbar bodies are small.,spine; lumbar
W2-248,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Lumbar features,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is distinctive about a lumbar vertebra?,"A massive build for weight bearing, with no costal facets and no transverse foramina.",Big and ribless is the lumbar signature.,Thinking lumbar vertebrae carry ribs.,spine; lumbar
W2-249,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Body shapes,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,"Compare cervical, thoracic, and lumbar vertebrae by body shape.","Cervical small and oval, thoracic heart-shaped, lumbar kidney-shaped.",Body shape identifies the region.,Mixing up the three body shapes.,spine; regional
W2-250,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Spinous comparison,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,Compare cervical and lumbar spinous processes.,Cervical is short and often bifid; lumbar is short and blunt.,"Both short, but the tips differ.",Thinking cervical spinous processes are long.,spine; cervical; lumbar
W2-251,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Classify cervical,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,A vertebra has transverse foramina passing arteries. Which region?,Cervical.,Transverse foramina are cervical only.,Guessing thoracic.,spine; cervical; classification
W2-252,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Classify thoracic,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,A vertebra has costal facets for ribs. Which region?,Thoracic.,Rib facets mean thoracic.,Guessing lumbar.,spine; thoracic; classification
W2-253,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Classify lumbar,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,A large kidney-shaped vertebra has no rib facets. Which region?,Lumbar.,"Big, ribless, kidney-shaped is lumbar.",Guessing thoracic.,spine; lumbar; classification
W2-254,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Lumbar size,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,Why are lumbar vertebrae the largest?,They bear the most body weight.,Size follows the load they carry.,Thinking size is unrelated to load.,spine; lumbar
W2-255,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Why transverse foramina,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,Why do only cervical vertebrae have transverse foramina?,They transmit the vertebral arteries up to the brain.,The arteries run only through the neck vertebrae.,Thinking all vertebrae need these foramina.,spine; cervical; transverse foramina
W2-256,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Regional Vertebrae,Identify thoracic,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,"A vertebra has a heart-shaped body and a long, downward-angled spinous process. Name the region and a confirming clue.",Thoracic; costal facets for the ribs confirm it.,Two features point to one region.,Guessing cervical.,spine; thoracic; board
W2-257,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Atlas,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,What is the atlas (C1)?,A ring with no body and no spinous process that holds up the skull.,It carries the skull like Atlas of myth.,Thinking the atlas has a body.,spine; atlas
W2-258,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Axis,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,"What is the axis (C2), and what does it bear?",The second cervical vertebra; it bears the dens.,Its peg is the pivot for rotation.,Confusing the axis with the atlas.,spine; axis
W2-259,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Dens,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is the dens (odontoid process)?,The upward peg of the axis that the atlas pivots around.,The atlas spins on this peg.,Thinking the dens is part of the atlas.,spine; axis; dens
W2-260,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Atlanto-occipital,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What motion does the atlanto-occipital joint allow?,The 'yes' nod.,Skull rocking on the atlas nods yes.,Confusing it with the 'no' joint.,spine; atlanto-occipital joint
W2-261,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Atlanto-axial,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What motion does the atlanto-axial joint allow?,The 'no' head rotation.,Atlas pivoting on the dens shakes no.,Confusing it with the 'yes' joint.,spine; atlanto-axial joint
W2-262,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Vertebra prominens,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,What is the vertebra prominens (C7)?,A vertebra with a long spinous process felt at the base of the neck.,A palpable landmark for counting.,Thinking C1 is the vertebra prominens.,spine; vertebra prominens; C7
W2-263,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Joint motions,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,Compare the atlanto-occipital and atlanto-axial joints by motion.,Atlanto-occipital gives the 'yes' nod; atlanto-axial gives the 'no' rotation.,"Yes at the skull, no at the dens.",Swapping the yes and no motions.,spine; joints
W2-264,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,No rotation,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,A patient rotates the head 'no'. Which joint and pivot are involved?,"The atlanto-axial joint, the atlas pivoting on the dens.",No rotation happens on the dens.,Naming the atlanto-occipital joint.,spine; atlanto-axial joint; application
W2-265,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Dens fracture,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,Why is a fractured dens a serious injury?,It lies close to the brainstem and is held to the atlas only by a ligament.,A break near the brainstem is dangerous.,Thinking a dens fracture is minor.,spine; dens; clinical
W2-266,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Specialized Cervical,Classify atlas,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,A cervical vertebra is a ring with no body. Which is it?,The atlas (C1).,"No body, ring shape means the atlas.",Guessing the axis.,spine; atlas; classification
W2-267,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Sacrum,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,"How many vertebrae fuse to form the sacrum, and what shape results?",Five fused vertebrae form a triangular bone wedged between the hip bones.,Fusion makes a strong weight-transfer bone.,Thinking the sacrum is one original bone.,spine; sacrum
W2-268,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Sacral promontory,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is the sacral promontory?,The anterior ridge of the first sacral vertebra.,A pelvic landmark for measurement.,Confusing it with the sacral hiatus.,spine; sacrum; promontory
W2-269,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Median sacral crest,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is the median sacral crest?,The fused spinous processes along the posterior surface.,Fused spines form one ridge.,Thinking the sacrum has separate spinous processes.,spine; sacrum; median crest
W2-270,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Sacral foramina,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What do the sacral foramina transmit?,The sacral nerves.,Nerves exit through paired openings.,Confusing the sacral foramina with the sacral canal.,spine; sacrum; foramina
W2-271,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Sacral canal,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is the sacral canal?,The continuation of the vertebral canal through the sacrum.,The canal runs on into the sacrum.,Thinking the canal ends at the lumbar spine.,spine; sacrum; canal
W2-272,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Sacral hiatus,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,What is the sacral hiatus?,The opening at the inferior end of the sacral canal.,An access point at the canal's base.,Confusing the hiatus with the promontory.,spine; sacrum; hiatus
W2-273,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Auricular surface,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",5,2,core,"What is the auricular surface of the sacrum, and what joint does it form?",The ear-shaped surface joining the hip bone at the sacroiliac joint.,It links spine to pelvis.,Thinking the sacrum joins the femur.,spine; sacrum; sacroiliac joint
W2-274,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Coccyx,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",3,1,core,"How many vertebrae fuse to form the coccyx, and what does it anchor?",Four fused vertebrae; it anchors pelvic ligaments and muscles.,A small anchor at the column's base.,Thinking the coccyx bears weight like the sacrum.,spine; coccyx
W2-275,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Why fused,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",7,3,core,Why is the sacrum wedged and fused rather than mobile?,"It transfers body weight to the pelvis, needing strength over motion.",Weight transfer favors a solid bone.,Thinking the sacrum should be flexible.,spine; sacrum
W2-276,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sacrum & Coccyx,Classify auricular,"Distinguish cervical, thoracic, and lumbar vertebrae, and describe the atlas, axis, sacrum, and coccyx.",6,2,core,An ear-shaped sacral surface joins the hip bone. Name the surface and joint.,The auricular surface; the sacroiliac joint.,Ear-shaped plus hip bone equals sacroiliac.,Guessing the pubic symphysis.,spine; sacrum; sacroiliac joint; classification
W2-277,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sternum,Sternum,Identify the bones and markings of the thoracic cage.,4,1,core,What is the sternum?,"The breastbone, a flat bone of three fused parts.",Three parts merge into one plate.,Thinking the sternum is one solid bone from birth.,spine; thoracic cage; sternum
W2-278,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sternum,Manubrium,Identify the bones and markings of the thoracic cage.,6,2,core,"What is the manubrium, and what does it articulate with?",The superior part; it articulates with the clavicles and the first ribs.,The top of the sternum anchors the shoulders.,Confusing the manubrium with the body.,spine; sternum; manubrium
W2-279,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sternum,Body,Identify the bones and markings of the thoracic cage.,4,1,core,What is the body of the sternum?,The long middle part.,It sits between manubrium and xiphoid.,Confusing the body with the manubrium.,spine; sternum; body
W2-280,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sternum,Xiphoid process,Identify the bones and markings of the thoracic cage.,6,2,core,What is the xiphoid process?,"The small inferior tip, a muscle attachment that ossifies with age.","Cartilage at first, bone later.",Thinking the xiphoid is the top of the sternum.,spine; sternum; xiphoid
W2-281,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Sternum,Jugular notch,Identify the bones and markings of the thoracic cage.,6,2,core,What is the jugular notch?,"The central dip at the top of the manubrium, easily felt.",A palpable midline landmark.,Confusing the jugular notch with the sternal angle.,spine; sternum; jugular notch
