Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-411,Week 1,Integumentary,Integumentary,Integument Overview,Clinical,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",6,3,A subcutaneous injection is placed in the fatty layer beneath the skin. Which layer is that?,The hypodermis.,'Subcutaneous' literally means below the skin.,Confusing subcutaneous (hypodermis) with intradermal (dermis).,integumentary; hypodermis; clinical; injection
W1-412,Week 1,Integumentary,Integumentary,Integument Overview,Epidermis,Name the two layers of the skin and the hypodermis beneath them.,6,3,The skin's surface stays alive despite having no blood vessels of its own. Explain how.,The avascular epidermis receives nutrients by diffusion from the vascular dermis beneath it.,The short diffusion distance is one reason the epidermis stays thin.,Thinking the epidermis is nourished by sweat or by air.,integumentary; epidermis; dermis; board
W1-413,Week 1,Integumentary,Integumentary,Integument Overview,Dermis,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",6,3,A burn destroys the epidermis but spares the dermis. Which functions of the deeper layer remain intact?,"The dermis still holds its blood vessels, nerves, glands, and hair follicles.",Sparing the dermis preserves the sources of regeneration and sensation.,Assuming that losing the epidermis destroys the glands and follicles.,integumentary; dermis; clinical; burns
W1-414,Week 1,Integumentary,Integumentary,Epidermis,Strata order,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,List the five strata of the epidermis from deep to superficial.,"Stratum basale, stratum spinosum, stratum granulosum, stratum lucidum, stratum corneum.",New cells are born deep and are pushed up through each layer.,Reversing the order and starting from the corneum.,integumentary; epidermis; strata; ordering
W1-415,Week 1,Integumentary,Integumentary,Epidermis,Stratum basale,List the five strata of the epidermis in order and identify the cell types of the epidermis.,2,1,Which epidermal stratum is the deepest?,The stratum basale.,It sits directly on the basement membrane.,Naming the corneum as the deepest layer.,integumentary; epidermis; stratum basale
W1-416,Week 1,Integumentary,Integumentary,Epidermis,Stratum basale,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,Why is the stratum basale critical for skin renewal?,It is a single row of dividing cells that continually produces new keratinocytes.,The new cells are pushed toward the surface as more form beneath them.,Thinking the surface layer is the one that divides.,integumentary; epidermis; stratum basale
W1-417,Week 1,Integumentary,Integumentary,Epidermis,Stratum corneum,List the five strata of the epidermis in order and identify the cell types of the epidermis.,2,1,"Which stratum is the surface layer of flat, dead, keratinized cells?",The stratum corneum.,"It is the tough, water-resistant barrier of the skin.",Calling the corneum a living layer.,integumentary; epidermis; stratum corneum
W1-418,Week 1,Integumentary,Integumentary,Epidermis,Stratum granulosum,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,In which stratum does keratinization begin?,The stratum granulosum.,Cells here fill with keratohyalin granules.,Thinking keratin first appears in the stratum basale.,integumentary; epidermis; stratum granulosum; keratinization
W1-419,Week 1,Integumentary,Integumentary,Epidermis,Stratum granulosum,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,"What waterproofs the epidermis, and where is it released?","Lamellar granules of lipid, released by keratinocytes in the stratum granulosum.",This lipid seals the layers against water loss.,Thinking keratin alone waterproofs the skin.,integumentary; epidermis; stratum granulosum; waterproofing
W1-420,Week 1,Integumentary,Integumentary,Epidermis,Stratum lucidum,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,Which stratum is present only in thick skin?,The stratum lucidum.,"It is a clear, thin layer found in the palms and soles.",Thinking the lucidum is present in all skin.,integumentary; epidermis; stratum lucidum; thick skin
W1-421,Week 1,Integumentary,Integumentary,Epidermis,Thick vs thin skin,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,Compare thick and thin skin by their strata.,Thick skin of the palms and soles has all five strata; thin skin lacks the stratum lucidum.,"Thick versus thin refers to epidermal thickness, not the whole skin.",Thinking thick skin simply has a thicker dermis.,integumentary; epidermis; thick skin; thin skin
W1-422,Week 1,Integumentary,Integumentary,Epidermis,Stratum spinosum,List the five strata of the epidermis in order and identify the cell types of the epidermis.,2,1,Which stratum has a spiny appearance and several cell layers?,The stratum spinosum.,The 'spines' are shrinkage artifacts at the desmosomes.,Confusing the spinosum with the granulosum.,integumentary; epidermis; stratum spinosum
W1-423,Week 1,Integumentary,Integumentary,Epidermis,Keratinocyte journey,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,Trace a keratinocyte's journey through the epidermis.,"Born in the stratum basale, it is pushed up through the spinosum, granulosum, (lucidum in thick skin), and corneum, where it is shed.",The cell dies and flattens as it rises.,Thinking keratinocytes stay in one layer.,integumentary; epidermis; keratinocyte
W1-424,Week 1,Integumentary,Integumentary,Epidermis,Thick vs thin skin,List the five strata of the epidermis in order and identify the cell types of the epidermis.,6,3,"A biopsy shows a clear, thin band just above the granulosum. From which body region is the skin most likely?","Thick skin of the palm or sole, because the band is the stratum lucidum.",Only thick skin contains a stratum lucidum.,Assuming any skin sample can show a lucidum.,integumentary; epidermis; stratum lucidum; thick skin
W1-425,Week 1,Integumentary,Integumentary,Epidermis,Stratum corneum,List the five strata of the epidermis in order and identify the cell types of the epidermis.,4,2,Why is the stratum corneum well suited to be the body's barrier?,"It is many layers of flat, dead, keratin-filled cells that resist abrasion and water loss.","Dead, keratinized cells make a durable shield.",Thinking the barrier layer is living tissue.,integumentary; epidermis; stratum corneum
W1-426,Week 1,Integumentary,Integumentary,Epidermis,Strata comparison,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,Compare the stratum basale and stratum corneum by cell activity.,The basale is living and dividing; the corneum is dead and keratinized.,"Life at the bottom, protection at the top.",Thinking corneum cells still divide.,integumentary; epidermis; stratum basale; stratum corneum
W1-427,Week 1,Integumentary,Integumentary,Epidermis,Strata order,List the five strata of the epidermis in order and identify the cell types of the epidermis.,7,3,"In thick skin, through which strata, in order, must a keratinocyte pass from dividing to shed?","Basale, spinosum, granulosum, lucidum, corneum.",The lucidum step occurs only in thick skin.,Skipping the lucidum when describing thick skin.,integumentary; epidermis; strata; ordering; thick skin
W1-428,Week 1,Integumentary,Integumentary,Epidermis,Stratum basale,List the five strata of the epidermis in order and identify the cell types of the epidermis.,3,1,On what structure does the stratum basale rest?,The basement membrane.,The basement membrane anchors the epidermis to the dermis.,Thinking the basale rests directly on adipose tissue.,integumentary; epidermis; stratum basale; basement membrane
W1-429,Week 1,Integumentary,Integumentary,Epidermis,Clinical,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",7,3,A wound spares the stratum basale. Why can the epidermis still regenerate?,"The basale is the dividing layer, so intact basal cells regrow the epidermis.","If the basale is destroyed, a graft is needed.",Thinking any epidermal layer can regenerate the skin.,integumentary; epidermis; stratum basale; clinical; healing
W1-430,Week 1,Integumentary,Integumentary,Epidermis,Keratinization,List the five strata of the epidermis in order and identify the cell types of the epidermis.,7,3,Why does keratinization make the outer epidermis both tough and water-resistant?,"As cells rise they fill with keratin and are sealed by lamellar lipid, forming a dead, hardened, waterproof surface.",Structural protein plus a lipid barrier work together.,"Thinking keratin alone, without the lipid, does the job.",integumentary; epidermis; keratinization
W1-431,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,3,1,What is the main cell of the epidermis?,The keratinocyte.,"It produces keratin, the protective protein of the epidermis.",Thinking melanocytes are the most numerous epidermal cell.,integumentary; epidermis; keratinocyte
W1-432,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,"What do keratinocytes produce, and why does it matter?","Keratin, the tough protein that protects the epidermis.",Keratin gives the skin its durability.,Confusing keratin with melanin.,integumentary; epidermis; keratinocyte; keratin
W1-433,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,3,1,Which epidermal cell produces melanin?,The melanocyte.,Melanin colors the skin and shields it against UV light.,Thinking keratinocytes make the pigment.,integumentary; epidermis; melanocyte; melanin
W1-434,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,How does melanin protect the skin?,It shields the skin against UV light while also giving it color.,Melanocytes pass the pigment to nearby keratinocytes.,Thinking melanin's only role is color.,integumentary; epidermis; melanocyte; melanin; UV
W1-435,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,Compare keratinocytes and melanocytes by product and role.,Keratinocytes make keratin for protection; melanocytes make melanin for color and UV shielding.,"Two different products, two different jobs.",Thinking one cell type does both jobs.,integumentary; epidermis; keratinocyte; melanocyte
W1-436,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,"What is another name for tactile cells, and what do they sense?","Merkel cells; paired with a nerve ending, they sense touch.",They lie in the deep epidermis.,Thinking Merkel cells are immune cells.,integumentary; epidermis; tactile cells; Merkel cells
W1-437,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,"What is another name for dendritic cells, and what is their role?",Langerhans cells; they are immune cells that patrol the epidermis.,They detect pathogens breaching the surface.,Confusing Langerhans cells of the skin with the islet cells of the pancreas.,integumentary; epidermis; dendritic cells; Langerhans cells
W1-438,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,5,2,Compare tactile cells and dendritic cells by function.,Tactile (Merkel) cells sense touch; dendritic (Langerhans) cells provide immune defense.,"One senses, one defends.",Swapping the roles of the two cells.,integumentary; epidermis; Merkel cells; Langerhans cells
W1-439,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,7,3,An epidermal cell partners with a sensory nerve ending. Which cell type is it?,A tactile (Merkel) cell.,Its job is touch reception.,Guessing melanocyte because it is also a specialized cell.,integumentary; epidermis; Merkel cells; classification
W1-440,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,7,3,A person's melanocytes make very little melanin. Which protection is most reduced?,Protection against UV light.,Less melanin means less UV shielding and a higher risk of burns and damage.,Thinking low melanin mainly affects touch or immunity.,integumentary; epidermis; melanocyte; UV; application
W1-441,Week 1,Integumentary,Integumentary,Epidermis,Epidermal cells,List the five strata of the epidermis in order and identify the cell types of the epidermis.,7,3,Name the four epidermal cell types and pair each with its one-word job.,"Keratinocyte (protection), melanocyte (pigment), tactile/Merkel cell (touch), dendritic/Langerhans cell (immunity).","Four cells, four jobs, one epithelium.",Forgetting the immune and touch cells and listing only keratinocytes and melanocytes.,integumentary; epidermis; epidermal cells; board
W1-442,Week 1,Integumentary,Integumentary,Dermis,Dermal layers,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,3,1,What are the two layers of the dermis?,The papillary layer and the reticular layer.,The papillary layer is superficial; the reticular layer is deep.,Confusing the dermal layers with the epidermal strata.,integumentary; dermis; papillary layer; reticular layer
W1-443,Week 1,Integumentary,Integumentary,Dermis,Dermal layers,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,Compare the papillary and reticular dermis by connective tissue type.,The papillary layer is areolar connective tissue; the reticular layer is dense irregular connective tissue.,"Loose tissue above, dense tissue below.",Thinking both dermal layers are dense.,integumentary; dermis; papillary layer; reticular layer
W1-444,Week 1,Integumentary,Integumentary,Dermis,Dermal papillae,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,What are dermal papillae?,Finger-like projections of the papillary layer that push up into the epidermis.,They interlock dermis and epidermis and can raise friction ridges.,Thinking the papillae are part of the epidermis.,integumentary; dermis; dermal papillae
W1-445,Week 1,Integumentary,Integumentary,Dermis,Dermal papillae,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,How do dermal papillae produce fingerprints?,"On the palms and soles they raise the epidermis into friction ridges, the basis of fingerprints.",The ridges improve grip and leave prints.,Thinking fingerprints are formed in the epidermis alone.,integumentary; dermis; dermal papillae; fingerprints
W1-446,Week 1,Integumentary,Integumentary,Dermis,Sensory receptors,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,"Which corpuscles sit in the dermal papillae, and what do they sense?",Tactile (Meissner) corpuscles; they sense light touch.,Their shallow position suits fine touch.,Placing Pacinian corpuscles in the papillae.,integumentary; dermis; Meissner corpuscles; light touch
W1-447,Week 1,Integumentary,Integumentary,Dermis,Sensory receptors,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,"Which corpuscles lie in the deep reticular layer, and what do they sense?",Lamellated (Pacinian) corpuscles; they sense deep pressure.,Their deep location suits deep-pressure detection.,Thinking Pacinian corpuscles sense light touch.,integumentary; dermis; Pacinian corpuscles; deep pressure
W1-448,Week 1,Integumentary,Integumentary,Dermis,Sensory receptors,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,7,3,Compare tactile (Meissner) and lamellated (Pacinian) corpuscles by location and stimulus.,Meissner corpuscles are in the papillary layer for light touch; Pacinian corpuscles are in the deep reticular layer for deep pressure.,Depth matches the stimulus each receptor detects.,Swapping their depths or their stimuli.,integumentary; dermis; Meissner corpuscles; Pacinian corpuscles
W1-449,Week 1,Integumentary,Integumentary,Dermis,Reticular layer,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,"What tissue makes up the bulk of the dermis, and in which layer?","Dense irregular connective tissue, in the reticular layer.","This is the strong, stretch-resistant core of the skin.",Thinking areolar tissue makes up the bulk of the dermis.,integumentary; dermis; reticular layer; dense irregular
W1-450,Week 1,Integumentary,Integumentary,Dermis,Reticular layer,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,How do collagen and elastic fibers in the reticular layer serve the skin?,Collagen gives strength and elastic fibers give stretch and recoil.,Together they let skin resist tearing yet spring back.,Thinking one fiber type provides both strength and recoil.,integumentary; dermis; reticular layer; collagen; elastic fibers
W1-451,Week 1,Integumentary,Integumentary,Dermis,Reticular layer,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,"Which dermal layer holds the blood vessels, nerve endings, glands, and hair follicles?",The reticular layer.,The deep dermis houses the working structures of the skin.,Putting hair follicles in the papillary layer.,integumentary; dermis; reticular layer
W1-452,Week 1,Integumentary,Integumentary,Dermis,Dermal cells,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,3,1,What is the main cell of the dermis?,The fibroblast.,It builds the collagen and elastic fibers of the dermal matrix.,Thinking keratinocytes are found in the dermis.,integumentary; dermis; fibroblast
W1-453,Week 1,Integumentary,Integumentary,Dermis,Dermal cells,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,5,2,Compare the roles of dermal macrophages and mast cells.,Macrophages are wandering phagocytes that engulf debris and pathogens; mast cells release chemicals during injury and allergy.,"One engulfs invaders, the other triggers responses.",Thinking both cells are phagocytes.,integumentary; dermis; macrophages; mast cells
W1-454,Week 1,Integumentary,Integumentary,Dermis,Papillary layer,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,7,3,A biopsy of the superficial dermis shows loose areolar tissue thrown into papillae. Which dermal layer is it?,The papillary layer.,Areolar tissue and papillae mark the papillary layer.,Guessing the reticular layer.,integumentary; dermis; papillary layer; classification
W1-455,Week 1,Integumentary,Integumentary,Dermis,Dermal papillae,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,7,3,Why are fingerprints unique to the palms and soles rather than all skin?,Only there do dermal papillae raise the epidermis into friction ridges.,These ridges form the fingerprint pattern.,Thinking all skin has friction ridges.,integumentary; dermis; dermal papillae; fingerprints
W1-456,Week 1,Integumentary,Integumentary,Dermis,Dermal cells,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,3,1,Which dermal cell releases chemicals during injury and allergy?,The mast cell.,It drives inflammation and allergic responses.,Confusing mast cells with macrophages.,integumentary; dermis; mast cells
W1-457,Week 1,Integumentary,Integumentary,Dermis,Clinical,"Relate the anatomy of the skin layers to clinical scenarios such as burns, injections, and healing.",7,3,A splinter reaches a layer rich in blood vessels and nerve endings; it bleeds and hurts. Which skin layer did it reach?,"The dermis, specifically the reticular layer.","The vascular, innervated dermis bleeds and signals pain.",Thinking the avascular epidermis is what bleeds.,integumentary; dermis; clinical
W1-458,Week 1,Integumentary,Integumentary,Dermis,Sensory receptors,Distinguish the papillary and reticular layers of the dermis and the structures each contains.,7,3,Light touch and deep pressure on the same fingertip are detected by different receptors. Name each and its dermal location.,Light touch by Meissner corpuscles in the papillary layer; deep pressure by Pacinian corpuscles in the deep reticular layer.,Receptor depth matches the stimulus.,Assuming a single receptor detects both.,integumentary; dermis; Meissner corpuscles; Pacinian corpuscles; board
W1-459,Week 1,Integumentary,Integumentary,Hair,Hair structure,"Identify the accessory structures of the skin: hair, nails, and glands.",3,1,What is hair?,A strand of keratinized cells produced by a hair follicle.,"Hair is dead keratinized tissue, like the outer epidermis.",Thinking hair is living tissue along its length.,integumentary; hair
W1-460,Week 1,Integumentary,Integumentary,Hair,Hair structure,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,Compare the hair shaft and hair root by location.,The shaft is the part above the skin surface; the root is the part within the follicle.,Surface versus embedded.,Swapping shaft and root.,integumentary; hair; hair shaft; hair root
W1-461,Week 1,Integumentary,Integumentary,Hair,Hair follicle,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,What is a hair follicle?,A tube of epidermal and dermal tissue that surrounds the hair root.,It combines both skin layers around the root.,Thinking the follicle is purely epidermal.,integumentary; hair; hair follicle
W1-462,Week 1,Integumentary,Integumentary,Hair,Hair bulb,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,Where in the follicle does the hair actually grow?,"In the hair bulb, the expanded base of the follicle.",New cells form here and are pushed upward.,Thinking hair grows from its tip.,integumentary; hair; hair bulb
W1-463,Week 1,Integumentary,Integumentary,Hair,Hair color,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,"What sets hair color, and which cells are responsible?",Melanocytes deposit pigment into the cortex and medulla of the hair.,Loss of this pigment turns hair gray.,Thinking the follicle wall colors the hair.,integumentary; hair; melanocytes; hair color
W1-464,Week 1,Integumentary,Integumentary,Hair,Arrector pili,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,"What is the arrector pili, and what does it do?",A small smooth muscle that pulls the hair upright.,Its contraction produces goose bumps.,Thinking the arrector pili is skeletal muscle.,integumentary; hair; arrector pili
W1-465,Week 1,Integumentary,Integumentary,Hair,Hair root plexus,"Identify the accessory structures of the skin: hair, nails, and glands.",3,1,What does the hair root plexus detect?,"Movement of the hair, through sensory nerve endings around the follicle.",This makes hairs sensitive touch detectors.,Thinking the plexus supplies blood rather than sensation.,integumentary; hair; hair root plexus
W1-466,Week 1,Integumentary,Integumentary,Hair,Root sheaths,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,Compare the epithelial and dermal root sheaths of a hair.,The epithelial root sheath is the epidermal tube wrapping the root; the dermal root sheath is the connective tissue layer around the follicle.,"Epithelial inside, connective tissue outside.",Swapping the two sheaths.,integumentary; hair; root sheaths
W1-467,Week 1,Integumentary,Integumentary,Hair,Arrector pili,"Identify the accessory structures of the skin: hair, nails, and glands.",7,3,Why does contraction of the arrector pili produce goose bumps?,"The smooth muscle pulls the hair upright, dimpling the skin at the follicle.",It is a vestigial response that once fluffed fur for warmth.,Thinking goose bumps come from the hair itself contracting.,integumentary; hair; arrector pili
W1-468,Week 1,Integumentary,Integumentary,Hair,Hair bulb,"Identify the accessory structures of the skin: hair, nails, and glands.",7,3,A structure is the expanded base of a follicle where new hair cells form. What is it?,The hair bulb.,It is the growth zone of the hair.,Confusing the bulb with the hair root plexus.,integumentary; hair; hair bulb; classification
W1-469,Week 1,Integumentary,Integumentary,Hair,Hair color,"Identify the accessory structures of the skin: hair, nails, and glands.",7,3,Someone's hair turns gray with age. What has changed at the cellular level?,Melanocytes are depositing little or no pigment into the cortex and medulla.,No pigment means no color.,Thinking gray hair means the follicle has died.,integumentary; hair; melanocytes; application
W1-470,Week 1,Integumentary,Integumentary,Hair,Hair structure,"Identify the accessory structures of the skin: hair, nails, and glands.",3,1,What is the part of the hair within the follicle called?,The hair root.,The shaft is the visible part above the surface.,Calling the visible hair the root.,integumentary; hair; hair root
W1-471,Week 1,Integumentary,Integumentary,Hair,Hair structure,"Identify the accessory structures of the skin: hair, nails, and glands.",7,3,"Trace a hair from where it grows to where you see it, naming each part.","New cells form in the hair bulb, become the root within the follicle, and emerge as the shaft above the skin.","Growth at the base, visibility at the top.",Thinking hair grows from the shaft downward.,integumentary; hair; board
W1-472,Week 1,Integumentary,Integumentary,Nails,Nail structure,"Identify the accessory structures of the skin: hair, nails, and glands.",3,1,What is a nail?,A plate of hard keratin on the dorsal tip of a finger or toe.,Nails are a keratinized accessory structure of the skin.,Thinking nails are made of bone.,integumentary; nails
W1-473,Week 1,Integumentary,Integumentary,Nails,Nail matrix,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,"What is the nail matrix, and why does it matter?",The growth region at the proximal end of the nail; new nail forms here.,Damage to the matrix deforms nail growth.,Thinking the nail grows from its tip.,integumentary; nails; nail matrix
W1-474,Week 1,Integumentary,Integumentary,Nails,Nail structure,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,Compare the nail plate and the nail bed.,The nail plate is the visible body of the nail; the nail bed is the skin beneath it.,"Plate on top, bed underneath.",Swapping the plate and the bed.,integumentary; nails; nail plate; nail bed
W1-475,Week 1,Integumentary,Integumentary,Nails,Lunule,"Identify the accessory structures of the skin: hair, nails, and glands.",5,2,What is the lunule?,The pale crescent at the base of the nail.,It overlies the thick nail matrix.,Thinking the lunule is dead tissue lying on top of the nail.,integumentary; nails; lunule
W1-476,Week 1,Integumentary,Integumentary,Nails,Cuticle,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,"What is another name for the cuticle, and what is it?",The eponychium; a fold of skin over the proximal nail.,It seals the base of the nail.,Confusing the cuticle with the lunule.,integumentary; nails; cuticle; eponychium
W1-477,Week 1,Integumentary,Integumentary,Nails,Nail matrix,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Why does injury to the nail matrix affect the whole nail?,"The matrix is where new nail is produced, so damage there disrupts all subsequent growth.",The growth zone controls the plate that follows.,Thinking the visible plate regrows itself.,integumentary; nails; nail matrix
W1-478,Week 1,Integumentary,Integumentary,Nails,Lunule,"Identify the accessory structures of the skin: hair, nails, and glands.",8,3,"A pale crescent shows at the base of a nail. What structure is it, and what lies beneath it?","The lunule, which overlies the nail matrix.",Its paleness comes from the thick underlying matrix.,Thinking the lunule is separate from the matrix.,integumentary; nails; lunule; nail matrix
W1-479,Week 1,Integumentary,Integumentary,Nails,Nail matrix,"Identify the accessory structures of the skin: hair, nails, and glands.",8,3,A nail grows out over months from one region. Name that region and where you would find it.,"The nail matrix, at the proximal end of the nail beneath the lunule.",All nail length originates here.,Believing the free edge generates new nail.,integumentary; nails; nail matrix; board
W1-480,Week 1,Integumentary,Integumentary,Glands,Sebaceous glands,"Identify the accessory structures of the skin: hair, nails, and glands.",4,1,"Which skin gland produces sebum, and where does it release it?",The sebaceous gland; it releases oily sebum into hair follicles.,Sebum softens the hair and skin.,Thinking sebaceous glands open directly onto the skin surface.,integumentary; glands; sebaceous glands; sebum
W1-481,Week 1,Integumentary,Integumentary,Glands,Eccrine glands,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,"Which sweat gland is the most numerous, and where does it open?",The eccrine sweat gland; it opens directly onto the skin surface.,It makes watery sweat for cooling.,Confusing eccrine glands with apocrine glands.,integumentary; glands; eccrine glands
W1-482,Week 1,Integumentary,Integumentary,Glands,Sweat glands,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,Compare eccrine and apocrine sweat glands by secretion and where they open.,"Eccrine glands make watery sweat onto the skin surface; apocrine glands make richer, thicker sweat into hair follicles of the axillary and genital regions.",Different secretions and different outlets.,Thinking both open onto the skin surface.,integumentary; glands; eccrine glands; apocrine glands
W1-483,Week 1,Integumentary,Integumentary,Glands,Ceruminous glands,"Identify the accessory structures of the skin: hair, nails, and glands.",6,2,"What do ceruminous glands produce, and where?","Cerumen, or earwax, released into the ear canal.",They are modified sweat glands.,Thinking earwax comes only from sebaceous glands.,integumentary; glands; ceruminous glands; cerumen
