Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-211,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are microfilaments?,"The thinnest cytoskeletal fibers, made of actin.",,,microfilaments
W1-212,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What do microfilaments do?,Support the cell surface and enable movement.,,,microfilaments
W1-213,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are intermediate filaments?,Rope-like cytoskeletal fibers that resist pulling forces and give the cell strength.,,,intermediate filaments
W1-214,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are microtubules?,The thickest cytoskeletal fibers; hollow tubes that form tracks for transport.,,,microtubules
W1-215,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is the centrosome?,A region near the nucleus that organizes microtubules.,,,centrosome
W1-216,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are centrioles?,"Paired rod-shaped structures within the centrosome, made of nine microtubule triplets in a 9+0 array.",,,centrioles
W1-217,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What do centrioles organize during cell division?,The spindle.,,,centrioles; spindle
W1-218,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is the endomembrane system?,"The connected route of nuclear envelope, ER, Golgi apparatus, vesicles, and lysosomes.",,,endomembrane system
W1-219,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,Where does a secreted protein begin its path?,Rough ER.,,,secreted protein pathway
W1-220,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What carries a product from the ER to the Golgi apparatus?,A transport vesicle.,,,transport vesicle
W1-221,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,"What organelle sorts, modifies, and packages a product?",Golgi apparatus.,,,Golgi apparatus
W1-222,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What carries a product from the Golgi to the plasma membrane?,A secretory vesicle.,,,secretory vesicle
W1-223,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is exocytosis?,The exit point where a vesicle fuses with the plasma membrane and releases the product.,,,exocytosis
W1-224,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is endocytosis?,"The reverse direction, where material is taken into the cell inside a newly formed vesicle.",,,endocytosis
W1-225,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What cytoskeletal structure acts as tracks for vesicles?,Microtubules.,,,microtubules; vesicles
W1-226,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What structure allows mRNA to leave the nucleus?,Nuclear pores.,,,nuclear pores
W1-227,Week 1,Cell Anatomy,Cell Anatomy,Organelle Comparison,Organelle Comparison,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Compare rough ER and smooth ER.,Rough ER has ribosomes and makes/packages proteins; smooth ER lacks ribosomes and makes lipids/stores calcium.,,,rough ER; smooth ER
W1-228,Week 1,Cell Anatomy,Cell Anatomy,Organelle Comparison,Organelle Comparison,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Compare lysosomes and peroxisomes.,Lysosomes digest worn parts and debris; peroxisomes neutralize toxins and free radicals.,,,lysosomes; peroxisomes
W1-229,Week 1,Cell Anatomy,Cell Anatomy,Organelle Comparison,Organelle Comparison,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Compare mitochondria and ribosomes by function.,Mitochondria produce ATP; ribosomes build proteins.,,,mitochondria; ribosomes
W1-230,Week 1,Cell Anatomy,Cell Anatomy,Organelle Comparison,Organelle Comparison,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Compare membranous and non-membranous organelles.,Membranous organelles are enclosed by membranes; non-membranous organelles are not membrane-bound.,,,organelles
W1-231,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,"Compare microfilaments, intermediate filaments, and microtubules.",Microfilaments are thinnest and actin-based; intermediate filaments resist tension; microtubules are thick hollow tracks.,,,cytoskeleton
W1-232,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Why are microtubules important for intracellular transport?,They form tracks that vesicles can follow between organelles.,,,microtubules; transport
W1-233,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Trace a secreted protein through the endomembrane system.,Rough ER → transport vesicle → Golgi apparatus → secretory vesicle → plasma membrane → exocytosis.,,,secreted protein pathway
W1-234,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Why is the Golgi apparatus a mid-path stop?,"It sorts, modifies, and packages products before shipping them onward.",,,Golgi apparatus
W1-235,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,How does exocytosis differ from endocytosis?,Exocytosis releases material out of the cell; endocytosis brings material into the cell.,,,exocytosis; endocytosis
W1-236,Week 1,Cell Anatomy,Cell Anatomy,Endomembrane System,Endomembrane System,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,3,2,Why is the nuclear envelope included in the endomembrane system?,It is continuous with rough ER and participates in membrane-connected traffic.,,,nuclear envelope; ER
W1-237,Week 1,Cell Anatomy,Cell Anatomy,Cell Specialization,Cell Specialization,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,How are muscle cells structurally adapted for their job?,They are long and packed with mitochondria.,,,muscle cell
W1-238,Week 1,Cell Anatomy,Cell Anatomy,Cell Specialization,Cell Specialization,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,Why do muscle cells need many mitochondria?,"Contraction demands a constant, heavy supply of ATP.",,,muscle cell; mitochondria
W1-239,Week 1,Cell Anatomy,Cell Anatomy,Cell Specialization,Cell Specialization,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,How are red blood cells structurally adapted for their job?,They lose their nucleus and organelles.,,,red blood cell
W1-240,Week 1,Cell Anatomy,Cell Anatomy,Cell Specialization,Cell Specialization,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,Why does a red blood cell lose its nucleus and organelles?,To free interior space for oxygen-carrying contents.,,,red blood cell
W1-241,Week 1,Cell Anatomy,Cell Anatomy,Cell Specialization,Cell Specialization,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,How are white blood cells structurally adapted for their job?,They change shape freely.,,,white blood cell
W1-242,Week 1,Cell Anatomy,Cell Anatomy,Cell Specialization,Cell Specialization,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,Why do white blood cells need to change shape?,They can squeeze between cells to reach a site of infection.,,,white blood cell
W1-243,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A cell cannot digest worn-out organelles. Which organelle is most likely defective?,Lysosome.,,,lysosomes; clinical
W1-244,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A cell cannot neutralize toxins and free radicals well. Which organelle is most likely defective?,Peroxisome.,,,peroxisomes; clinical
W1-245,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A cell cannot produce enough ATP for contraction. Which organelle is most directly involved?,Mitochondria.,,,mitochondria; clinical
W1-246,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A secreted protein is made but cannot be packaged and shipped correctly. Which organelle is most likely involved?,Golgi apparatus.,,,Golgi; clinical
W1-247,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A product cannot move from ER to Golgi. Which structure likely failed?,Transport vesicles or microtubule tracks.,,,vesicles; microtubules
W1-248,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,Messenger RNA cannot leave the nucleus. Which structure is impaired?,Nuclear pores.,,,nuclear pores; clinical
W1-249,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A cell surface loses its fuzzy identity coat. Which membrane component is affected?,Glycocalyx.,,,glycocalyx; clinical
W1-250,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A cell specialized for secretion would likely have abundant rough ER and Golgi. Why?,Rough ER makes proteins and Golgi sorts/packages them for export.,,,secretion; ER; Golgi
W1-251,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A steroid-producing cell would likely have abundant smooth ER. Why?,Smooth ER makes lipids.,,,smooth ER; lipids
W1-252,Week 1,Cell Anatomy,Cell Anatomy,Clinical Reasoning,Clinical Reasoning,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,4,3,A cell with high calcium storage needs would rely heavily on which organelle?,Smooth ER.,,,smooth ER; calcium
W1-253,Week 1,Tissues,Tissues,Origins,Origins,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is a tissue?,A group of cells that share a structure and a job.,,,tissue
W1-254,Week 1,Tissues,Tissues,Germ Layers,Germ Layers,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What are the three primary germ layers?,"Ectoderm, mesoderm, and endoderm.",,,germ layers
W1-255,Week 1,Tissues,Tissues,Germ Layers,Germ Layers,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What does ectoderm form?,The epidermis of the skin and all nervous tissue.,,,ectoderm
W1-256,Week 1,Tissues,Tissues,Germ Layers,Germ Layers,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What does mesoderm form?,"Muscle, bone, cartilage, blood, and most connective tissue.",,,mesoderm
W1-257,Week 1,Tissues,Tissues,Germ Layers,Germ Layers,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What does endoderm form?,The epithelial lining of the digestive and respiratory tracts and their glands.,,,endoderm
W1-258,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,Name the four basic tissue types.,"Epithelial, connective, muscle, and nervous tissue.",,,four tissue types
W1-259,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is the primary function of epithelial tissue?,"Covers surfaces, lines cavities and vessels, and forms glands.",,,epithelial tissue
W1-260,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,Where does epithelial tissue dominate?,"Epidermis, gut and vessel linings, and all glands.",,,epithelial tissue
W1-261,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is the primary function of connective tissue?,"Binds, supports, and protects.",,,connective tissue
W1-262,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,Where is connective tissue found?,"Throughout the body, between and within organs.",,,connective tissue
W1-263,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is the primary function of muscle tissue?,Produces movement by contracting.,,,muscle tissue
W1-264,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,Where is muscle tissue found?,"Skeletal muscles, heart wall, and walls of hollow organs.",,,muscle tissue
W1-265,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is the primary function of nervous tissue?,"Senses change, processes information, and directs responses.",,,nervous tissue
W1-266,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,Where is nervous tissue found?,"Brain, spinal cord, and nerves.",,,nervous tissue
W1-267,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Compare epithelial and connective tissue by general role.,"Epithelial tissue covers and lines; connective tissue binds, supports, and protects.",,,epithelial; connective
W1-268,Week 1,Tissues,Tissues,Four Tissue Types,Four Tissue Types,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Compare muscle and nervous tissue by primary function.,"Muscle tissue contracts for movement; nervous tissue senses, processes, and directs responses.",,,muscle; nervous
W1-269,Week 1,Tissues,Tissues,Epithelial Tissue,Epithelial Tissue,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What are the major functions of epithelial tissue?,"Protection, absorption, secretion, filtration, and sensory reception.",,,epithelial functions
W1-270,Week 1,Tissues,Tissues,Epithelial Tissue,Epithelial Tissue,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What are general features of epithelial tissue?,"Tightly packed cells, little matrix, one free apical surface, avascular but innervated, high regeneration.",,,epithelial features
W1-271,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,How are epithelial tissues named?,By number of cell layers and shape of surface cells.,,,epithelial classification
W1-272,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is simple epithelium?,"One cell layer, built for absorption, secretion, and filtration.",,,simple epithelium
W1-273,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is stratified epithelium?,"Many cell layers, built for protection against wear.",,,stratified epithelium
W1-274,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What are squamous cells?,"Flat, thin cells that allow rapid diffusion and filtration.",,,squamous cells
W1-275,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What are cuboidal cells?,Cube-shaped cells common in glands and kidney tubules for secretion and absorption.,,,cuboidal cells
W1-276,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What are columnar cells?,Tall cells lining absorptive and secretory surfaces such as the gut.,,,columnar cells
W1-277,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is pseudostratified epithelium?,"One layer that looks layered, often ciliated, lining the airways.",,,pseudostratified epithelium
W1-278,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is transitional epithelium?,"Epithelium that stretches and recoils, lining the urinary tract.",,,transitional epithelium
W1-279,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Compare simple and stratified epithelium.,Simple has one layer for exchange/absorption/secretion; stratified has many layers for protection.,,,simple; stratified
W1-280,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,"Compare squamous, cuboidal, and columnar cells.",Squamous are flat; cuboidal are cube-shaped; columnar are tall.,,,cell shapes
W1-281,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Why is stratified epithelium suited for protection?,Many layers resist wear and damage.,,,stratified epithelium
W1-282,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Why is simple squamous epithelium suited for diffusion?,"Flat, thin cells create a short diffusion distance.",,,simple squamous
W1-283,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",4,3,A tissue must stretch and recoil in the urinary tract. Which epithelium fits?,Transitional epithelium.,,,transitional epithelium
W1-284,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",4,3,A ciliated airway lining looks layered but is one layer. Which epithelium fits?,Pseudostratified epithelium.,,,pseudostratified
W1-285,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",4,3,A gland duct is specialized for secretion and absorption. Which cell shape is common?,Cuboidal cells.,,,cuboidal
W1-286,Week 1,Tissues,Tissues,Epithelial Classification,Epithelial Classification,"Classify the four tissue types and their subtypes by structure, function, and location.",4,3,An absorptive gut lining uses tall cells. Which epithelial shape fits?,Columnar cells.,,,columnar
W1-287,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What is the basement membrane?,A thin sheet anchoring epithelium to underlying connective tissue.,,,basement membrane
W1-288,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What two layers form the basement membrane?,Basal lamina and reticular lamina.,,,basement membrane
W1-289,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What do apical microvilli do?,Increase surface area for absorption.,,,microvilli
W1-290,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",2,1,What do epithelial cilia do?,Sweep mucus and particles across the surface.,,,cilia
W1-291,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Why is epithelium avascular but still alive?,It receives nutrients by diffusion from underlying connective tissue.,,,epithelial features
W1-292,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",3,2,Why does epithelium have high regenerative capacity?,It is exposed to wear and must replace damaged cells.,,,epithelial regeneration
W1-293,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",4,3,"If the basement membrane fails, what epithelial function is most directly compromised?",Anchoring epithelium to connective tissue below.,,,basement membrane; application
W1-294,Week 1,Tissues,Tissues,Epithelial Structures,Epithelial Structures,"Classify the four tissue types and their subtypes by structure, function, and location.",4,3,"If airway cilia fail, what clinical problem becomes more likely?","Mucus and particles build up, increasing infection risk.",,,cilia; clinical
