ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-154,Body Cavities,Quadrants,2,3,Which quadrant is classically associated with diverticulitis pain?,Left lower quadrant.,LLQ; diverticulitis
W1-155,Body Cavities,Quadrants,2,3,Which quadrant is classically associated with gallbladder disease?,Right upper quadrant.,RUQ; gallbladder
W1-156,Body Cavities,Peritoneal Relationships,2,3,Compare intraperitoneal and retroperitoneal organs by mobility.,Intraperitoneal organs are relatively mobile; retroperitoneal organs are more fixed against the posterior wall.,peritoneal relationships
W1-157,Body Cavities,Peritoneal Relationships,2,3,Why can retroperitoneal bleeding be harder to detect?,It can stay hidden behind the peritoneum and present as flank or back pain.,retroperitoneal; clinical
W1-158,Body Cavities,Peritoneal Relationships,3,4,A kidney injury causes flank pain with hidden bleeding. Which peritoneal relationship explains this?,The kidneys are retroperitoneal.,kidneys; retroperitoneal
W1-159,Body Cavities,Peritoneal Relationships,3,4,Blood from a ruptured intraperitoneal organ spreads freely. Why?,Intraperitoneal organs are within the peritoneal cavity where fluid can spread.,intraperitoneal; clinical
W1-160,Body Cavities,Mediastinum,3,4,A mass is found within the pericardium. Which mediastinal compartment is involved?,Middle mediastinum.,mediastinum; clinical
W1-161,Body Cavities,Mediastinum,3,4,A mass lies between the sternum and pericardium. Which mediastinal compartment is involved?,Anterior mediastinum.,mediastinum; clinical
W1-162,Body Cavities,Mediastinum,3,4,A mass lies between the pericardium and thoracic vertebrae. Which mediastinal compartment is involved?,Posterior mediastinum.,mediastinum; clinical
W1-163,Cell Anatomy,General Cell,1,2,What is a generalized cell?,A composite model showing features shared by most body cells.,cell anatomy
W1-164,Cell Anatomy,General Cell,1,2,Name the three basic regions of a generalized cell.,"Plasma membrane, cytoplasm, and nucleus.",cell anatomy
W1-165,Cell Anatomy,General Cell,1,2,What is the plasma membrane?,The outer boundary that encloses the cell and separates it from surroundings.,plasma membrane
W1-166,Cell Anatomy,General Cell,1,2,What is cytoplasm?,Everything between the plasma membrane and nucleus: cytosol plus organelles.,cytoplasm
W1-167,Cell Anatomy,General Cell,1,2,What is the nucleus?,"The cell’s control center, usually the largest structure.",nucleus
W1-168,Cell Anatomy,Plasma Membrane,1,2,What is the phospholipid bilayer?,A double layer of phospholipids forming the basic fabric of the membrane.,plasma membrane
W1-169,Cell Anatomy,Plasma Membrane,1,2,What does the fluid mosaic model describe?,Proteins drifting within the phospholipid bilayer.,fluid mosaic model
W1-170,Cell Anatomy,Plasma Membrane,1,2,What are integral proteins?,Proteins firmly embedded in the bilayer; many span it as transmembrane proteins.,integral proteins
W1-171,Cell Anatomy,Plasma Membrane,1,2,What do integral proteins commonly form?,"Channels, carriers, and receptors.",integral proteins
W1-172,Cell Anatomy,Plasma Membrane,1,2,What are peripheral proteins?,Proteins loosely attached to one membrane face or to integral proteins.,peripheral proteins
W1-173,Cell Anatomy,Plasma Membrane,1,2,What do peripheral proteins do?,Act as enzymes and brace cell shape.,peripheral proteins
W1-174,Cell Anatomy,Plasma Membrane,1,2,What does cholesterol do in the plasma membrane?,Stabilizes the membrane and keeps it fluid.,cholesterol
W1-175,Cell Anatomy,Plasma Membrane,1,2,What is the glycocalyx?,The fuzzy external coat of glycoproteins and glycolipids.,glycocalyx
W1-176,Cell Anatomy,Plasma Membrane,1,2,What does the glycocalyx do?,Acts as the cell’s identity badge for recognition and adhesion.,glycocalyx
W1-177,Cell Anatomy,Surface Specializations,1,2,What are microvilli?,Finger-like cell surface extensions that increase surface area for absorption.,microvilli
W1-178,Cell Anatomy,Surface Specializations,1,2,What are cilia?,Short hair-like extensions built on a 9+2 microtubule core that sweep substances across the surface.,cilia
W1-179,Cell Anatomy,Surface Specializations,1,2,What is a flagellum?,"A single long 9+2 extension that propels a cell; in humans, the sperm tail.",flagellum
W1-180,Cell Anatomy,Plasma Membrane,2,3,Compare integral and peripheral proteins.,Integral proteins are embedded in the bilayer; peripheral proteins attach loosely to a membrane face or integral protein.,membrane proteins
W1-181,Cell Anatomy,Surface Specializations,2,3,Compare microvilli and cilia by function.,Microvilli increase absorption surface area; cilia move substances across the cell surface.,microvilli; cilia
W1-182,Cell Anatomy,Surface Specializations,2,3,Compare cilia and flagellum by number and function.,Cilia are short and numerous for sweeping; a flagellum is long and propels the cell.,cilia; flagellum
W1-183,Cell Anatomy,Clinical Reasoning,3,4,A cell specialized for absorption has many finger-like apical projections. What are they?,Microvilli.,microvilli; application
W1-184,Cell Anatomy,Clinical Reasoning,3,4,Airway cells cannot clear mucus because hair-like projections are defective. Which structure is affected?,Cilia.,cilia; application
W1-185,Cell Anatomy,Clinical Reasoning,3,4,A cell needs many receptors for signaling. Which membrane protein category is most directly involved?,Integral proteins.,integral proteins; application
W1-186,Cell Anatomy,Nucleus,1,2,What is the nuclear envelope?,The double membrane enclosing the nucleus.,nuclear envelope
W1-187,Cell Anatomy,Nucleus,1,2,What is the outer nuclear membrane continuous with?,Rough ER.,nuclear envelope; rough ER
W1-188,Cell Anatomy,Nucleus,1,2,What are nuclear pores?,Protein-lined channels through the nuclear envelope that regulate traffic both ways.,nuclear pores
W1-189,Cell Anatomy,Nucleus,1,2,What exits the nucleus through nuclear pores?,Messenger RNA and ribosomal subunits.,nuclear pores
W1-190,Cell Anatomy,Nucleus,1,2,What is nucleoplasm?,The fluid inside the nucleus.,nucleoplasm
W1-191,Cell Anatomy,Nucleus,1,2,What is the nucleolus?,A dense body inside the nucleus where ribosomal subunits are assembled.,nucleolus
W1-192,Cell Anatomy,Nucleus,1,2,What is chromatin?,"Loose, threadlike DNA wound on proteins, present when the cell is not dividing.",chromatin
W1-193,Cell Anatomy,Nucleus,1,2,What are chromosomes?,Tightly coiled chromatin visible when the cell divides.,chromosomes
W1-194,Cell Anatomy,Nucleus,2,3,Compare chromatin and chromosomes.,Chromatin is loose DNA when not dividing; chromosomes are tightly coiled chromatin during division.,chromatin; chromosomes
W1-195,Cell Anatomy,Nucleus,2,3,Why are nuclear pores important?,"They regulate movement between nucleus and cytoplasm, including mRNA exit.",nuclear pores
